,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05001687,14078.0,,,,[]
E05001688,11025.0,,,,[]
E05001689,13054.0,,,,[]
E05001690,14671.0,,,,[]
E05001691,8047.0,,,,[]
E05001692,9643.0,,,,[]
E05001693,18125.0,,,,[]
E05001694,15369.0,,,,[]
E05001695,14547.0,,,,[]
E05001696,11528.0,,,,[]
E05001697,11157.0,,,,[]
E05001698,15359.0,,,,[]
E05001699,5277.0,,,,[]
E05001700,15283.0,,,,[]
E05001701,13769.0,,,,[]
E05001702,16490.0,,,,[]
E05001703,10579.0,,,,[]
E05001704,18026.0,,,,[]
E05001705,16211.0,,,,[]
E05001706,9803.0,,,,[]
E05001707,14927.0,,,,[]
E05001708,10569.0,,,,[]
E05001709,14412.0,,,,[]
E05001710,10336.0,,,,[]
E05001711,13727.0,,,,[]
E05001712,17189.0,,,,[]
E06000011,343143.0,9904.0,9802.0,9492.0,['E12000003']
