geography_code,Number of persons,number_of_children,pensioners,working_age
E05014171,,,,
E05014172,,,,
E05014173,,,,
E05014174,,,,
E05014175,,,,
E05014176,,,,
E05014177,,,,
E05014178,,,,
E05014179,,,,
E05014180,,,,
E05014181,,,,
E05014182,,,,
E05014183,,,,
E05014184,,,,
E05014185,,,,
E05014186,,,,
E05014187,,,,
E05014188,,,,
E05014189,,,,
E05014190,,,,
E05014191,,,,
E05014192,,,,
E05014193,,,,
E05014194,,,,
E05014195,,,,
E05014196,,,,
E05014197,,,,
E05014198,,,,
E05014199,,,,
E05014200,,,,
E05014201,,,,
E05014202,,,,
E05014203,,,,
E05014204,,,,
E05014205,,,,
E05014206,,,,
E05014207,,,,
E05014208,,,,
E05014209,,,,
E05014210,,,,
E05014211,,,,
E05014212,,,,
E05014213,,,,
E05014214,,,,
E05014215,,,,
E05014216,,,,
E05014217,,,,
E05014218,,,,
E05014219,,,,
E05014220,,,,
E05014221,,,,
E05014222,,,,
E05014223,,,,
E05014224,,,,
E05014225,,,,
E05014226,,,,
E05014227,,,,
E05014228,,,,
E05014229,,,,
E05014230,,,,
E05014231,,,,
E05014232,,,,
E05014233,,,,
E05014234,,,,
E05014235,,,,
E05014236,,,,
E05014237,,,,
E05014238,,,,
E05014239,,,,
E05014240,,,,
E05014241,,,,
E05014242,,,,
E05014243,,,,
E05014244,,,,
E05014245,,,,
E05014246,,,,
E05014247,,,,
E05014248,,,,
E05014249,,,,
E07000026,96384.0,3549.0,2870.0,4185.0
E07000027,67375.0,2697.0,2025.0,3667.0
E07000028,110255.0,4174.0,2724.0,4664.0
E07000029,67176.0,2301.0,2026.0,3248.0
E07000030,54955.0,1536.0,1068.0,1791.0
E07000031,104676.0,2507.0,1968.0,2675.0
E10000006,500821.0,,,
