,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05000650,14133.0,,,,[]
E05000651,11331.0,,,,[]
E05000652,14078.0,,,,[]
E05000653,13503.0,,,,[]
E05000654,16828.0,,,,[]
E05000655,16586.0,,,,[]
E05000656,16402.0,,,,[]
E05000657,15257.0,,,,[]
E05000658,15275.0,,,,[]
E05000659,14290.0,,,,[]
E05000660,13389.0,,,,[]
E05000661,12024.0,,,,[]
E05000662,14602.0,,,,[]
E05000663,14497.0,,,,[]
E05000664,12593.0,,,,[]
E05000665,17707.0,,,,[]
E05000666,14595.0,,,,[]
E05000667,14406.0,,,,[]
E05000668,13897.0,,,,[]
E05000669,12855.0,,,,[]
E08000001,296041.0,26101.0,8766.0,14377.0,['E47000001']
