geography_code,Number of persons,number_of_children,pensioners,working_age
E05011436,15639.0,,,
E05011437,12503.0,,,
E05011438,10809.0,,,
E05011439,11767.0,,,
E05011440,9976.0,,,
E05011441,12441.0,,,
E05011442,8877.0,,,
E05011443,9879.0,,,
E05011444,12574.0,,,
E05011445,16252.0,,,
E05011446,10167.0,,,
E05011447,10665.0,,,
E05011448,11415.0,,,
E05011449,10878.0,,,
E05011450,10640.0,,,
E05011451,9965.0,,,
E05011452,9344.0,,,
E05011453,18192.0,,,
E05011454,10448.0,,,
E05011455,13964.0,,,
E05011456,11259.0,,,
E05011457,11175.0,,,
E05011458,11866.0,,,
E05011459,11699.0,,,
E05011460,11013.0,,,
E05011461,13417.0,,,
E08000021,298264.0,18138.0,10683.0,28488.0
