geography_code,mean_normalised_score,input_variables,geography_name
E06000001,0.5518789832212968,"['1', '2', '3', '4', '5', '6']",Hartlepool
E06000002,0.6796352431104813,"['1', '2', '3', '4', '5', '6']",Middlesbrough
E06000003,0.5621715887792973,"['1', '2', '3', '4', '5', '6']",Redcar and Cleveland
E06000004,0.41662545811239665,"['1', '2', '3', '4', '5', '6']",Stockton-on-Tees
E06000005,0.394854706952568,"['1', '2', '3', '4', '5', '6']",Darlington
E06000006,0.4175418025310422,"['1', '2', '3', '4', '5', '6']",Halton
E06000007,0.1956694577523754,"['1', '2', '3', '4', '5', '6']",Warrington
E06000008,0.6330221777724888,"['1', '2', '3', '4', '5', '6']",Blackburn with Darwen
E06000009,0.7375163381091255,"['1', '2', '3', '4', '5', '6']",Blackpool
E06000010,0.7054589790273077,"['1', '2', '3', '4', '5', '6']","Kingston upon Hull, City of"
E06000011,0.27677280268352633,"['1', '2', '3', '4', '5', '6']",East Riding of Yorkshire
E06000012,0.4897788638926004,"['1', '2', '3', '4', '5', '6']",North East Lincolnshire
E06000013,0.38494897128648536,"['1', '2', '3', '4', '5', '6']",North Lincolnshire
E06000014,0.22711683412798803,"['1', '2', '3', '4', '5', '6']",York
E06000047,0.45335361669713586,"['1', '2', '3', '4', '5', '6']",County Durham
E06000049,0.14266803040414813,"['1', '2', '3', '4', '5', '6']",Cheshire East
E06000050,0.3242320382615331,"['1', '2', '3', '4', '5', '6']",Cheshire West and Chester
E06000057,0.426144983759128,"['1', '2', '3', '4', '5', '6']",Northumberland
E07000026,0.3048874387297818,"['1', '2', '3', '4', '5', '6']",Allerdale
E07000027,0.38897780637460805,"['1', '2', '3', '4', '5', '6']",Barrow-in-Furness
E07000028,0.40218463496262075,"['1', '2', '3', '4', '5', '6']",Carlisle
E07000029,0.3082088194526817,"['1', '2', '3', '4', '5', '6']",Copeland
E07000030,0.3388086682626201,"['1', '2', '3', '4', '5', '6']",Eden
E07000031,0.3283928002487266,"['1', '2', '3', '4', '5', '6']",South Lakeland
E07000117,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Burnley
E07000118,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Chorley
E07000119,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Fylde
E07000120,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Hyndburn
E07000121,0.43654715977184494,"['1', '2', '3', '4', '5', '6']",Lancaster
E07000122,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Pendle
E07000123,0.5786580591077041,"['1', '2', '3', '4', '5', '6']",Preston
E07000124,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Ribble Valley
E07000125,0.49593706158396705,"['1', '2', '3', '4', '5', '6']",Rossendale
E07000126,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",South Ribble
E07000127,0.48517068887942555,"['1', '2', '3', '4', '5', '6']",West Lancashire
E07000128,0.5130819562443746,"['1', '2', '3', '4', '5', '6']",Wyre
E07000163,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",Craven
E07000164,0.2739545687738569,"['1', '2', '3', '4', '5', '6']",Hambleton
E07000165,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",Harrogate
E07000166,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",Richmondshire
E07000167,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",Ryedale
E07000168,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",Scarborough
E07000169,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",Selby
E08000001,0.5307128134613845,"['1', '2', '3', '4', '5', '6']",Bolton
E08000002,0.2570879155595766,"['1', '2', '3', '4', '5', '6']",Bury
E08000003,0.7069851587823676,"['1', '2', '3', '4', '5', '6']",Manchester
E08000004,0.513801407430509,"['1', '2', '3', '4', '5', '6']",Oldham
E08000005,0.602180410348938,"['1', '2', '3', '4', '5', '6']",Rochdale
E08000006,0.46189273474402803,"['1', '2', '3', '4', '5', '6']",Salford
E08000007,0.19109799995694177,"['1', '2', '3', '4', '5', '6']",Stockport
E08000008,0.4843918756290784,"['1', '2', '3', '4', '5', '6']",Tameside
E08000009,0.21680927354570204,"['1', '2', '3', '4', '5', '6']",Trafford
E08000010,0.4150642278778364,"['1', '2', '3', '4', '5', '6']",Wigan
E08000011,0.4611780561479651,"['1', '2', '3', '4', '5', '6']",Knowsley
E08000012,0.5952724506474317,"['1', '2', '3', '4', '5', '6']",Liverpool
E08000013,0.3298424514859762,"['1', '2', '3', '4', '5', '6']",St. Helens
E08000014,0.3990175819904416,"['1', '2', '3', '4', '5', '6']",Sefton
E08000015,0.3731175281491203,"['1', '2', '3', '4', '5', '6']",Wirral
E08000016,0.5152971593165795,"['1', '2', '3', '4', '5', '6']",Barnsley
E08000017,0.5446431075342245,"['1', '2', '3', '4', '5', '6']",Doncaster
E08000018,0.5296577265196762,"['1', '2', '3', '4', '5', '6']",Rotherham
E08000019,0.5581590476464401,"['1', '2', '3', '4', '5', '6']",Sheffield
E08000021,0.5158642610209588,"['1', '2', '3', '4', '5', '6']",Newcastle upon Tyne
E08000022,0.3463570040094357,"['1', '2', '3', '4', '5', '6']",North Tyneside
E08000023,0.6883209974477343,"['1', '2', '3', '4', '5', '6']",South Tyneside
E08000024,0.5319726396890853,"['1', '2', '3', '4', '5', '6']",Sunderland
E08000032,0.6884984442230797,"['1', '2', '3', '4', '5', '6']",Bradford
E08000033,0.5013416539128703,"['1', '2', '3', '4', '5', '6']",Calderdale
E08000034,0.5239217687957011,"['1', '2', '3', '4', '5', '6']",Kirklees
E08000035,0.4063256381740041,"['1', '2', '3', '4', '5', '6']",Leeds
E08000036,0.4794884856618659,"['1', '2', '3', '4', '5', '6']",Wakefield
E08000037,0.48979770088542746,"['1', '2', '3', '4', '5', '6']",Gateshead
E10000006,0.3283928002487266,"['1', '2', '3', '4', '5', '6']",Cumbria
E10000017,0.4316372988578505,"['1', '2', '3', '4', '5', '6']",Lancashire
E10000023,0.2940416761563905,"['1', '2', '3', '4', '5', '6']",North Yorkshire
E12000001,0.48734108536553583,"['1', '2', '3', '4', '5', '6']",North East
E12000002,0.4323199480481375,"['1', '2', '3', '4', '5', '6']",North West
E12000003,0.474129206363866,"['1', '2', '3', '4', '5', '6']",Yorkshire and The Humber
