,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05000819,13379.0,,,,[]
E05000820,10345.0,,,,[]
E05000821,9285.0,,,,[]
E05000822,14167.0,,,,[]
E05000823,10809.0,,,,[]
E05000824,10445.0,,,,[]
E05000825,12792.0,,,,[]
E05000826,9708.0,,,,[]
E05000827,10040.0,,,,[]
E05000828,10633.0,,,,[]
E05000829,12442.0,,,,[]
E05000830,10141.0,,,,[]
E05000831,10858.0,,,,[]
E05000832,12935.0,,,,[]
E05000833,11954.0,,,,[]
E05000834,12126.0,,,,[]
E05000835,10922.0,,,,[]
E05000836,11307.0,,,,[]
E05000837,11160.0,,,,[]
E05000838,11148.0,,,,[]
E05000839,10983.0,,,,[]
E08000009,235546.0,7666.0,5004.0,8106.0,['E47000001']
