date,geography_code,variable_name,variable_unit,value
2020-01-01,E05000026,GVA,£m,487.120255293
2020-01-01,E05000027,GVA,£m,118.668198551
2020-01-01,E05000028,GVA,£m,80.469218122
2020-01-01,E05000029,GVA,£m,107.32350883
2020-01-01,E05000030,GVA,£m,201.59505035499998
2020-01-01,E05000031,GVA,£m,95.384479447
2020-01-01,E05000032,GVA,£m,191.017201382
2020-01-01,E05000033,GVA,£m,85.22036165499999
2020-01-01,E05000034,GVA,£m,130.821030415
2020-01-01,E05000035,GVA,£m,99.836518514
2020-01-01,E05000036,GVA,£m,76.054363124
2020-01-01,E05000037,GVA,£m,62.584466089
2020-01-01,E05000038,GVA,£m,617.9760799310001
2020-01-01,E05000039,GVA,£m,698.1814009
2020-01-01,E05000040,GVA,£m,124.675651856
2020-01-01,E05000041,GVA,£m,66.879422114
2020-01-01,E05000042,GVA,£m,151.4289928
2020-01-01,E05000043,GVA,£m,288.603059861
2020-01-01,E05000044,GVA,£m,182.490276727
2020-01-01,E05000045,GVA,£m,619.13364314
2020-01-01,E05000046,GVA,£m,864.4206695500001
2020-01-01,E05000047,GVA,£m,262.54252307
2020-01-01,E05000048,GVA,£m,280.18068504
2020-01-01,E05000049,GVA,£m,309.531589625
2020-01-01,E05000050,GVA,£m,421.65321874
2020-01-01,E05000051,GVA,£m,565.1653282
2020-01-01,E05000052,GVA,£m,534.2051373300001
2020-01-01,E05000053,GVA,£m,349.80487762
2020-01-01,E05000054,GVA,£m,354.1886782
2020-01-01,E05000055,GVA,£m,601.7264759
2020-01-01,E05000056,GVA,£m,448.4393814
2020-01-01,E05000057,GVA,£m,450.87731901
2020-01-01,E05000058,GVA,£m,276.33105027
2020-01-01,E05000059,GVA,£m,462.92228315
2020-01-01,E05000060,GVA,£m,401.25329364
2020-01-01,E05000061,GVA,£m,604.85712886
2020-01-01,E05000062,GVA,£m,470.388899681
2020-01-01,E05000063,GVA,£m,293.98594283
2020-01-01,E05000085,GVA,£m,423.733367985
2020-01-01,E05000086,GVA,£m,280.88987551
2020-01-01,E05000087,GVA,£m,190.60295702
2020-01-01,E05000088,GVA,£m,560.670355015
2020-01-01,E05000089,GVA,£m,299.60428472
2020-01-01,E05000090,GVA,£m,259.21101305
2020-01-01,E05000091,GVA,£m,114.988179222
2020-01-01,E05000092,GVA,£m,166.87848224
2020-01-01,E05000093,GVA,£m,209.45439235
2020-01-01,E05000094,GVA,£m,303.727470816
2020-01-01,E05000095,GVA,£m,186.37872455000002
2020-01-01,E05000096,GVA,£m,687.459347255
2020-01-01,E05000097,GVA,£m,282.335556815
2020-01-01,E05000098,GVA,£m,492.08928398
2020-01-01,E05000099,GVA,£m,340.449827
2020-01-01,E05000100,GVA,£m,1593.4177832149999
2020-01-01,E05000101,GVA,£m,139.112911046
2020-01-01,E05000102,GVA,£m,1686.213748529
2020-01-01,E05000103,GVA,£m,109.415637493
2020-01-01,E05000104,GVA,£m,330.19060529
2020-01-01,E05000105,GVA,£m,254.44800471599999
2020-01-01,E05000106,GVA,£m,265.33028577
2020-01-01,E05000107,GVA,£m,368.71059852
2020-01-01,E05000108,GVA,£m,298.409997263
2020-01-01,E05000109,GVA,£m,1959.66087323
2020-01-01,E05000110,GVA,£m,237.3901697
2020-01-01,E05000111,GVA,£m,352.90570606
2020-01-01,E05000112,GVA,£m,234.79837141
2020-01-01,E05000113,GVA,£m,284.95599750499997
2020-01-01,E05000114,GVA,£m,398.87947173599997
2020-01-01,E05000115,GVA,£m,435.585315324
2020-01-01,E05000116,GVA,£m,149.980260408
2020-01-01,E05000117,GVA,£m,121.23586315
2020-01-01,E05000118,GVA,£m,430.55235342
2020-01-01,E05000119,GVA,£m,291.20369197
2020-01-01,E05000120,GVA,£m,322.15719566
2020-01-01,E05000121,GVA,£m,107.604488891
2020-01-01,E05000122,GVA,£m,394.187099207
2020-01-01,E05000123,GVA,£m,331.960171775
2020-01-01,E05000124,GVA,£m,199.73672889
