Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Type of Individual by Age Category,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2016-17,North East (E12000001),Child,387396.0,136245.0
2016-17,North East (E12000001),Pensioner,428510.0,84634.0
2016-17,North East (E12000001),Working-Age,1285228.0,268527.0
2016-17,North West (E12000002),Child,1138944.0,375283.0
2016-17,North West (E12000002),Pensioner,1066023.0,243798.0
2016-17,North West (E12000002),Working-Age,3503937.0,740196.0
2016-17,Yorkshire and The Humber (E12000003),Child,904679.0,231410.0
2016-17,Yorkshire and The Humber (E12000003),Pensioner,790319.0,205729.0
2016-17,Yorkshire and The Humber (E12000003),Working-Age,2666631.0,513176.0
