,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05012000,2751.0,,,,[]
E05012001,3400.0,,,,[]
E05012002,1454.0,,,,[]
E05012003,1918.0,,,,[]
E05012004,1345.0,,,,[]
E05012005,1517.0,,,,[]
E05012006,1604.0,,,,[]
E05012007,3130.0,,,,[]
E05012008,2881.0,,,,[]
E05012009,2832.0,,,,[]
E05012010,3536.0,,,,[]
E05012011,1341.0,,,,[]
E05012012,1721.0,,,,[]
E05012013,2969.0,,,,[]
E05012014,2695.0,,,,[]
E05012015,3882.0,,,,[]
E05012016,1639.0,,,,[]
E05012017,1568.0,,,,[]
E05012018,3070.0,,,,[]
E05012019,3634.0,,,,[]
E05012020,1515.0,,,,[]
E05012021,1740.0,,,,[]
E05012022,2555.0,,,,[]
E05012023,1979.0,,,,[]
E05012024,3267.0,,,,[]
E05012025,2083.0,,,,[]
E07000124,61907.0,1410.0,944.0,1149.0,['E10000017']
