"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"2013265921","North East","E12000001","regions",480,0,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",2646772,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265921d0d200d20100",0,621
"2021","2021","2021","date",0,0,"2013265922","North West","E12000002","regions",480,1,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",7422295,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265922d0d200d20100",1,621
"2021","2021","2021","date",0,0,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",5481431,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265923d0d200d20100",2,621
"2021","2021","2021","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",4880094,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265924d0d200d20100",3,621
"2021","2021","2021","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",5954240,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265925d0d200d20100",4,621
"2021","2021","2021","date",0,0,"2013265926","East","E12000006","regions",480,5,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",6348096,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265926d0d200d20100",5,621
"2021","2021","2021","date",0,0,"2013265927","London","E12000007","regions",480,6,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",8796628,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265927d0d200d20100",6,621
"2021","2021","2021","date",0,0,"2013265928","South East","E12000008","regions",480,7,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",9294023,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265928d0d200d20100",7,621
"2021","2021","2021","date",0,0,"2013265929","South West","E12000009","regions",480,8,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",5712840,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265929d0d200d20100",8,621
"2021","2021","2021","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",3105410,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265930d0d200d20100",9,621
"2021","2021","2021","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",5479900,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265931d0d200d20100",10,621
"2021","2021","2021","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",1904563,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d2013265932d0d200d20100",11,621
"2021","2021","2021","date",0,0,"1937768449","Greater Manchester (Met County)","E11000001","former metropolitan counties",462,12,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",2868387,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d1937768449d0d200d20100",12,621
"2021","2021","2021","date",0,0,"1937768450","Inner London","E13000001","former metropolitan counties",462,13,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",3407131,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d1937768450d0d200d20100",13,621
"2021","2021","2021","date",0,0,"1937768451","Merseyside (Met County)","E11000002","former metropolitan counties",462,14,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",1423145,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d1937768451d0d200d20100",14,621
"2021","2021","2021","date",0,0,"1937768452","Outer London","E13000002","former metropolitan counties",462,15,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",5389497,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32336e0d1937768452d0d200d20100",15,621
