financial_year,type_of_individual_by_age_category,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2011-12,Child,429415.0,94771.0,North East,E12000001
2011-12,Pensioner,463554.0,46176.0,North East,E12000001
2011-12,Working-Age,1192995.0,336292.0,North East,E12000001
2011-12,Child,1152377.0,336369.0,North West,E12000002
2011-12,Pensioner,1136679.0,188874.0,North West,E12000002
2011-12,Working-Age,3465159.0,688138.0,North West,E12000002
2011-12,Child,890728.0,233262.0,Yorkshire and The Humber,E12000003
2011-12,Pensioner,820500.0,160685.0,Yorkshire and The Humber,E12000003
2011-12,Working-Age,2551594.0,564831.0,Yorkshire and The Humber,E12000003
