geography_code,Number of persons,number_of_children,pensioners,working_age
E05001341,15263.0,,,
E05001342,18275.0,,,
E05001343,18716.0,,,
E05001344,17122.0,,,
E05001345,22379.0,,,
E05001346,21358.0,,,
E05001347,25951.0,,,
E05001348,17412.0,,,
E05001349,17014.0,,,
E05001350,19602.0,,,
E05001351,19202.0,,,
E05001352,18544.0,,,
E05001353,16846.0,,,
E05001354,14757.0,,,
E05001355,18448.0,,,
E05001356,16604.0,,,
E05001357,16813.0,,,
E05001358,23338.0,,,
E05001359,20314.0,,,
E05001360,16943.0,,,
E05001361,17706.0,,,
E05001362,15644.0,,,
E05001363,18277.0,,,
E05001364,20343.0,,,
E05001365,22712.0,,,
E05001366,11911.0,,,
E05001367,15007.0,,,
E05001368,16294.0,,,
E05001369,14153.0,,,
E05001370,15180.0,,,
E05001371,11199.0,,,
E05001372,12067.0,,,
E05001373,12218.0,,,
E05001374,11318.0,,,
E05001375,12245.0,,,
E05001376,12805.0,,,
E05001377,10713.0,,,
E05001378,11735.0,,,
E05001379,12729.0,,,
E05001380,16371.0,,,
E05001381,11212.0,,,
E05001382,11546.0,,,
E05001383,13571.0,,,
E05001384,12111.0,,,
E05001385,12414.0,,,
E05001386,13106.0,,,
E05001387,14079.0,,,
E05001389,20572.0,,,
E05001390,19351.0,,,
E05001391,20735.0,,,
E05001392,16906.0,,,
E05001393,17371.0,,,
E05001396,17309.0,,,
E05001397,16779.0,,,
E05001398,20130.0,,,
E05001399,19259.0,,,
E05001400,22505.0,,,
E05001401,18240.0,,,
E05001402,21230.0,,,
E05001403,17363.0,,,
E05001405,19432.0,,,
E05001407,20822.0,,,
E05001408,20079.0,,,
E05001409,20043.0,,,
E05001410,24262.0,,,
E05001444,17746.0,,,
E05001445,15892.0,,,
E05001446,18398.0,,,
E05001447,16843.0,,,
E05001448,15875.0,,,
E05001449,17299.0,,,
E05001450,15979.0,,,
E05001451,15513.0,,,
E05001452,14363.0,,,
E05001453,17334.0,,,
E05001454,16678.0,,,
E05001455,18035.0,,,
E05001456,15238.0,,,
E05001457,19279.0,,,
E05001458,16568.0,,,
E05001459,17232.0,,,
E05001460,17647.0,,,
E05001461,17736.0,,,
E05001462,14906.0,,,
E05001463,16555.0,,,
E05001464,16476.0,,,
E05008558,18075.0,,,
E05008559,17715.0,,,
E05008560,19503.0,,,
E05008561,17202.0,,,
E05008562,16407.0,,,
E05011384,22699.0,,,
E05011385,25313.0,,,
E05011387,22613.0,,,
E05011388,28766.0,,,
E05011389,23248.0,,,
E05011390,24471.0,,,
E05011391,23327.0,,,
E05011394,33645.0,,,
E05011395,22697.0,,,
E05011396,18182.0,,,
E05011397,32459.0,,,
E05011399,28727.0,,,
E05011400,24901.0,,,
E05011401,21222.0,,,
E05011402,22223.0,,,
E05011403,37849.0,,,
E05011404,28811.0,,,
E05011405,22471.0,,,
E05011406,22482.0,,,
E05011407,22574.0,,,
E05011409,24747.0,,,
E05011410,20250.0,,,
E05011411,23259.0,,,
E05011413,21542.0,,,
E05011414,20567.0,,,
E05011547,22447.0,,,
E05011549,22064.0,,,
E05012647,26957.0,,,
E05012648,24329.0,,,
E05012841,19605.0,,,
E05012842,22944.0,,,
E05013830,,,,
E05013831,,,,
E08000032,546976.0,55038.0,14046.0,29217.0
E08000033,206818.0,10990.0,5651.0,10865.0
E08000034,433355.0,27839.0,11289.0,23099.0
E08000035,809036.0,39995.0,20022.0,42596.0
E08000036,353802.0,15001.0,10024.0,19608.0
E47000003,2349987.0,,,
