,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05012437,4292.0,,,,[]
E05012438,6905.0,,,,[]
E05012439,5123.0,,,,[]
E05012440,4679.0,,,,[]
E05012441,7578.0,,,,[]
E05012442,6619.0,,,,[]
E05012443,8063.0,,,,[]
E05012444,6420.0,,,,[]
E05012445,7458.0,,,,[]
E05012446,2367.0,,,,[]
E05012447,6472.0,,,,[]
E05012448,4026.0,,,,[]
E05012449,5199.0,,,,[]
E05012450,6724.0,,,,[]
E05012451,6325.0,,,,[]
E05012452,7115.0,,,,[]
E05012453,6060.0,,,,[]
E05012454,4212.0,,,,[]
E05012455,4739.0,,,,[]
E05012456,5353.0,,,,[]
E05012457,5826.0,,,,[]
E05012458,5947.0,,,,[]
E05012459,5367.0,,,,[]
E05012460,4359.0,,,,[]
E06000003,136616.0,7933.0,5548.0,7971.0,['E47000006']
