,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05001115,10694.0,,,,[]
E05001116,10206.0,,,,[]
E05001117,10562.0,,,,[]
E05001118,11954.0,,,,[]
E05001119,11288.0,,,,[]
E05001120,9413.0,,,,[]
E05001121,11258.0,,,,[]
E05001122,11202.0,,,,[]
E05001123,11476.0,,,,[]
E05001124,9169.0,,,,[]
E05001125,9741.0,,,,[]
E05001126,8929.0,,,,[]
E05001127,8186.0,,,,[]
E05001128,12182.0,,,,[]
E05001129,8762.0,,,,[]
E05001130,10332.0,,,,[]
E05001131,13263.0,,,,[]
E05001132,10811.0,,,,[]
E05001133,9994.0,,,,[]
E05001134,9449.0,,,,[]
E08000022,209151.0,9239.0,7188.0,8857.0,['E47000011']
