dates_date,freq
June 2011,m
July 2011,m
August 2011,m
September 2011,m
October 2011,m
November 2011,m
December 2011,m
January 2012,m
February 2012,m
March 2012,m
April 2012,m
May 2012,m
June 2012,m
July 2012,m
August 2012,m
September 2012,m
October 2012,m
November 2012,m
December 2012,m
January 2013,m
February 2013,m
March 2013,m
April 2013,m
May 2013,m
June 2013,m
July 2013,m
August 2013,m
September 2013,m
October 2013,m
November 2013,m
December 2013,m
January 2014,m
February 2014,m
March 2014,m
April 2014,m
May 2014,m
June 2014,m
July 2014,m
August 2014,m
September 2014,m
October 2014,m
November 2014,m
December 2014,m
January 2015,m
February 2015,m
March 2015,m
April 2015,m
May 2015,m
June 2015,m
July 2015,m
August 2015,m
September 2015,m
October 2015,m
November 2015,m
December 2015,m
January 2016,m
February 2016,m
March 2016,m
April 2016,m
May 2016,m
June 2016,m
July 2016,m
August 2016,m
September 2016,m
October 2016,m
November 2016,m
December 2016,m
January 2017,m
February 2017,m
March 2017,m
April 2017,m
May 2017,m
June 2017,m
July 2017,m
August 2017,m
September 2017,m
October 2017,m
November 2017,m
December 2017,m
January 2018,m
February 2018,m
March 2018,m
April 2018,m
May 2018,m
June 2018,m
July 2018,m
August 2018,m
September 2018,m
October 2018,m
November 2018,m
December 2018,m
January 2019,m
February 2019,m
March 2019,m
April 2019,m
May 2019,m
June 2019,m
July 2019,m
August 2019,m
September 2019,m
October 2019,m
November 2019,m
December 2019,m
January 2020,m
February 2020,m
March 2020,m
April 2020,m
May 2020,m
June 2020,m
