financial_year,type_of_individual_by_age_category,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2012-13,Child,409473.0,114136.0,North East,E12000001
2012-13,Pensioner,462203.0,49985.0,North East,E12000001
2012-13,Working-Age,1253953.0,279297.0,North East,E12000001
2012-13,Child,1179748.0,312955.0,North West,E12000002
2012-13,Pensioner,1146615.0,197446.0,North West,E12000002
2012-13,Working-Age,3439683.0,718842.0,North West,E12000002
2012-13,Child,880234.0,249770.0,Yorkshire and The Humber,E12000003
2012-13,Pensioner,835551.0,159198.0,Yorkshire and The Humber,E12000003
2012-13,Working-Age,2527573.0,597459.0,Yorkshire and The Humber,E12000003
