,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05000976,12715.0,,,,[]
E05000977,11705.0,,,,[]
E05000978,11146.0,,,,[]
E05000979,11136.0,,,,[]
E05000980,10961.0,,,,[]
E05000981,11361.0,,,,[]
E05000982,12459.0,,,,[]
E05000983,10621.0,,,,[]
E05000984,12260.0,,,,[]
E05000985,11971.0,,,,[]
E05000986,12141.0,,,,[]
E05000987,13714.0,,,,[]
E05000988,11280.0,,,,[]
E05000989,12219.0,,,,[]
E05000990,12889.0,,,,[]
E05000991,11129.0,,,,[]
E05000992,11409.0,,,,[]
E05000993,11141.0,,,,[]
E05000994,12843.0,,,,[]
E05000995,13181.0,,,,[]
E05000996,9790.0,,,,[]
E05001341,15263.0,,,,[]
E05001342,18275.0,,,,[]
E05001343,18716.0,,,,[]
E05001344,17122.0,,,,[]
E05001345,22379.0,,,,[]
E05001346,21358.0,,,,[]
E05001347,25951.0,,,,[]
E05001348,17412.0,,,,[]
E05001349,17014.0,,,,[]
E05001350,19602.0,,,,[]
E05001351,19202.0,,,,[]
E05001352,18544.0,,,,[]
E05001353,16846.0,,,,[]
E05001354,14757.0,,,,[]
E05001355,18448.0,,,,[]
E05001356,16604.0,,,,[]
E05001357,16813.0,,,,[]
E05001358,23338.0,,,,[]
E05001359,20314.0,,,,[]
E05001360,16943.0,,,,[]
E05001361,17706.0,,,,[]
E05001362,15644.0,,,,[]
E05001363,18277.0,,,,[]
E05001364,20343.0,,,,[]
E05001365,22712.0,,,,[]
E05001366,11911.0,,,,[]
E05001367,15007.0,,,,[]
E05001368,16294.0,,,,[]
E05001369,14153.0,,,,[]
E05001370,15180.0,,,,[]
E05001371,11199.0,,,,[]
E05001372,12067.0,,,,[]
E05001373,12218.0,,,,[]
E05001374,11318.0,,,,[]
E05001375,12245.0,,,,[]
E05001376,12805.0,,,,[]
E05001377,10713.0,,,,[]
E05001378,11735.0,,,,[]
E05001379,12729.0,,,,[]
E05001380,16371.0,,,,[]
E05001381,11212.0,,,,[]
E05001382,11546.0,,,,[]
E05001383,13571.0,,,,[]
E05001384,12111.0,,,,[]
E05001385,12414.0,,,,[]
E05001386,13106.0,,,,[]
E05001387,14079.0,,,,[]
E05001389,20572.0,,,,[]
E05001390,19351.0,,,,[]
E05001391,20735.0,,,,[]
E05001392,16906.0,,,,[]
E05001393,17371.0,,,,[]
E05001396,17309.0,,,,[]
E05001397,16779.0,,,,[]
E05001398,20130.0,,,,[]
E05001399,19259.0,,,,[]
E05001400,22505.0,,,,[]
E05001401,18240.0,,,,[]
E05001402,21230.0,,,,[]
E05001403,17363.0,,,,[]
E05001405,19432.0,,,,[]
E05001407,20822.0,,,,[]
E05001408,20079.0,,,,[]
E05001409,20043.0,,,,[]
E05001410,24262.0,,,,[]
E05001444,17746.0,,,,[]
E05001445,15892.0,,,,[]
E05001446,18398.0,,,,[]
E05001447,16843.0,,,,[]
E05001448,15875.0,,,,[]
E05001449,17299.0,,,,[]
E05001450,15979.0,,,,[]
E05001451,15513.0,,,,[]
E05001452,14363.0,,,,[]
E05001453,17334.0,,,,[]
E05001454,16678.0,,,,[]
E05001455,18035.0,,,,[]
E05001456,15238.0,,,,[]
E05001457,19279.0,,,,[]
E05001458,16568.0,,,,[]
E05001459,17232.0,,,,[]
E05001460,17647.0,,,,[]
E05001461,17736.0,,,,[]
E05001462,14906.0,,,,[]
E05001463,16555.0,,,,[]
E05001464,16476.0,,,,[]
