geography_code,Number of persons,number_of_children,pensioners,working_age
E05000719,15090.0,,,
E05000720,11116.0,,,
E05000721,11415.0,,,
E05000722,11456.0,,,
E05000723,13404.0,,,
E05000724,10192.0,,,
E05000725,10205.0,,,
E05000726,10447.0,,,
E05000727,12515.0,,,
E05000728,14402.0,,,
E05000729,9781.0,,,
E05000730,10794.0,,,
E05000731,9753.0,,,
E05000732,10024.0,,,
E05000733,10723.0,,,
E05000734,12707.0,,,
E05000735,15679.0,,,
E05000736,10123.0,,,
E05000737,13629.0,,,
E05000738,14173.0,,,
E08000004,242072.0,25877.0,6730.0,14853.0
