geography_code,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05011525,12968.0,,,,[]
E05011526,16261.0,,,,[]
E05011527,12183.0,,,,[]
E05011528,7729.0,,,,[]
E05011529,12490.0,,,,[]
E05011530,11415.0,,,,[]
E05011531,12317.0,,,,[]
E05011532,11076.0,,,,[]
E05011533,8802.0,,,,[]
E05011534,5860.0,,,,[]
E05011535,12294.0,,,,[]
E05011536,13378.0,,,,[]
E05011537,14747.0,,,,[]
E05011538,16545.0,,,,[]
E05011539,15508.0,,,,[]
E05011540,7959.0,,,,[]
E05011541,16134.0,,,,[]
E05011542,15265.0,,,,[]
E05011543,12696.0,,,,[]
E05011544,10849.0,,,,[]
E05011545,12650.0,,,,[]
E06000010,266463.0,17800.0,10336.0,19400.0,['E12000003']
