geography_code,Number of persons,number_of_children,pensioners,working_age
E05011384,22699.0,,,
E05011385,25313.0,,,
E05011387,22613.0,,,
E05011388,28766.0,,,
E05011389,23248.0,,,
E05011390,24471.0,,,
E05011391,23327.0,,,
E05011394,33645.0,,,
E05011395,22697.0,,,
E05011396,18182.0,,,
E05011397,32459.0,,,
E05011399,28727.0,,,
E05011400,24901.0,,,
E05011401,21222.0,,,
E05011402,22223.0,,,
E05011403,37849.0,,,
E05011404,28811.0,,,
E05011405,22471.0,,,
E05011406,22482.0,,,
E05011407,22574.0,,,
E05011409,24747.0,,,
E05011410,20250.0,,,
E05011411,23259.0,,,
E05011413,21542.0,,,
E05011414,20567.0,,,
E05011547,22447.0,,,
E05011549,22064.0,,,
E05012647,26957.0,,,
E05012648,24329.0,,,
E05012841,19605.0,,,
E05012842,22944.0,,,
E08000035,809036.0,39995.0,20022.0,42596.0
