geography_code,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05011508,10806.0,,,,[]
E05011509,8607.0,,,,[]
E05011510,8964.0,,,,[]
E05011511,9248.0,,,,[]
E05011512,7814.0,,,,[]
E05011513,9970.0,,,,[]
E05011514,9483.0,,,,[]
E05011515,7720.0,,,,[]
E05011516,8374.0,,,,[]
E05011517,9856.0,,,,[]
E05011518,8848.0,,,,[]
E05011519,7551.0,,,,[]
E05011520,8153.0,,,,[]
E05011521,8918.0,,,,[]
E05011522,8942.0,,,,[]
E05011523,9209.0,,,,[]
E05011524,7567.0,,,,[]
E06000008,154922.0,15982.0,4605.0,10747.0,['E12000002']
