,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05001067,8028.0,,,,[]
E05001068,9970.0,,,,[]
E05001069,11515.0,,,,[]
E05001071,8647.0,,,,[]
E05001072,8786.0,,,,[]
E05001073,9786.0,,,,[]
E05001074,9359.0,,,,[]
E05001075,9005.0,,,,[]
E05001076,9104.0,,,,[]
E05001077,9529.0,,,,[]
E05001078,9901.0,,,,[]
E05001079,10340.0,,,,[]
E05001080,8409.0,,,,[]
E05001081,8619.0,,,,[]
E05001082,8721.0,,,,[]
E05001083,11582.0,,,,[]
E05001084,8202.0,,,,[]
E05001085,7949.0,,,,[]
E05001086,8012.0,,,,[]
E05001087,9367.0,,,,[]
E05001088,8182.0,,,,[]
E05001135,9406.0,,,,[]
E05001136,7553.0,,,,[]
E05001137,9095.0,,,,[]
E05001138,9385.0,,,,[]
E05001139,8381.0,,,,[]
E05001140,7659.0,,,,[]
E05001141,7366.0,,,,[]
E05001142,8265.0,,,,[]
E05001143,9338.0,,,,[]
E05001144,8809.0,,,,[]
E05001145,9174.0,,,,[]
E05001146,8162.0,,,,[]
E05001147,8096.0,,,,[]
E05001148,9299.0,,,,[]
E05001149,8105.0,,,,[]
E05001150,7576.0,,,,[]
E05001151,7355.0,,,,[]
E05001152,8109.0,,,,[]
E05001153,10595.0,,,,[]
E05001154,10838.0,,,,[]
E05001155,11853.0,,,,[]
E05001156,9847.0,,,,[]
E05001157,10850.0,,,,[]
E05001158,12987.0,,,,[]
E05001159,11831.0,,,,[]
E05001160,11740.0,,,,[]
E05001161,13038.0,,,,[]
E05001162,10827.0,,,,[]
E05001163,11112.0,,,,[]
E05001164,11363.0,,,,[]
E05001165,10981.0,,,,[]
E05001166,9169.0,,,,[]
E05001167,10682.0,,,,[]
E05001168,10851.0,,,,[]
E05001169,10786.0,,,,[]
E05001170,13170.0,,,,[]
E05001171,10194.0,,,,[]
E05001172,10749.0,,,,[]
E05001173,10818.0,,,,[]
E05001174,11326.0,,,,[]
E05001175,10847.0,,,,[]
E05001176,10005.0,,,,[]
E05001177,11387.0,,,,[]
E05009030,8227.0,,,,[]
E05009031,8281.0,,,,[]
E05009032,10717.0,,,,[]
E05009033,7969.0,,,,[]
E05009034,8532.0,,,,[]
E05009035,8539.0,,,,[]
E05009036,14730.0,,,,[]
E05009037,8200.0,,,,[]
E05009038,7861.0,,,,[]
E05009039,3669.0,,,,[]
E05009040,7871.0,,,,[]
E05009041,10300.0,,,,[]
E05009042,8193.0,,,,[]
E05009043,3909.0,,,,[]
E05009044,3899.0,,,,[]
E05009045,7516.0,,,,[]
E05009046,7931.0,,,,[]
E05009047,4441.0,,,,[]
E05009048,7868.0,,,,[]
E05009049,5610.0,,,,[]
E05009050,4417.0,,,,[]
E05009051,12514.0,,,,[]
E05009052,8428.0,,,,[]
E05009053,12374.0,,,,[]
E05009054,8826.0,,,,[]
E05009055,12803.0,,,,[]
E05009056,8638.0,,,,[]
E05009057,7085.0,,,,[]
E05009058,2200.0,,,,[]
E05009059,7629.0,,,,[]
E05009060,12245.0,,,,[]
E05009061,8172.0,,,,[]
E05009062,8208.0,,,,[]
E05009063,10798.0,,,,[]
E05009064,14597.0,,,,[]
E05009065,7397.0,,,,[]
E05009066,7620.0,,,,[]
E05009067,8866.0,,,,[]
E05009068,7280.0,,,,[]
E05009069,8017.0,,,,[]
E05009070,16042.0,,,,[]
E05009071,3464.0,,,,[]
E05009072,4338.0,,,,[]
E05009073,13062.0,,,,[]
E05009074,7209.0,,,,[]
E05009075,8187.0,,,,[]
E05009076,7697.0,,,,[]
E05009077,7011.0,,,,[]
E05009078,8239.0,,,,[]
E05009079,8500.0,,,,[]
E05009080,13364.0,,,,[]
E05009081,9394.0,,,,[]
E05009082,11273.0,,,,[]
E05009083,8968.0,,,,[]
E05009084,8057.0,,,,[]
E05009085,4687.0,,,,[]
E05009086,13207.0,,,,[]
E05009087,9398.0,,,,[]
E05009088,7980.0,,,,[]
E05009089,8821.0,,,,[]
E05009090,9000.0,,,,[]
E05009091,4332.0,,,,[]
E05009092,8542.0,,,,[]
E05009313,8937.0,,,,[]
E06000047,521346.0,27178.0,20606.0,33369.0,['E47000010']
E08000023,147915.0,8820.0,7126.0,10303.0,['E47000010']
E08000024,274211.0,15812.0,12078.0,18661.0,['E47000010']
E08000037,196154.0,10183.0,8234.0,11507.0,['E47000010']
E47000010,1139626.0,,,,['E12000001' 'E11000007']
