dates_date,freq
Mar-17,m
Apr-17,m
May-17,m
Jun-17,m
Jul-17,m
Aug-17,m
Sep-17,m
Oct-17,m
Nov-17,m
Dec-17,m
Jan-18,m
Feb-18,m
Mar-18,m
Apr-18,m
May-18,m
Jun-18,m
Jul-18,m
Aug-18,m
Sep-18,m
Oct-18,m
Nov-18,m
Dec-18,m
Jan-19,m
Feb-19,m
Mar-19,m
Apr-19,m
May-19,m
Jun-19,m
Jul-19,m
Aug-19,m
Sep-19,m
Oct-19,m
Nov-19,m
Dec-19,m
Jan-20,m
Feb-20,m
Mar-20,m
Apr-20,m
May-20,m
Jun-20,m
Jul-20,m
Aug-20,m
Sep-20,m
Oct-20,m
Nov-20,m
Dec-20,m
Jan-21,m
Feb-21,m
Mar-21,m
Apr-21,m
May-21,m
Jun-21,m
Jul-21,m
Aug-21,m
Sep-21,m
Oct-21,m
Nov-21,m
Dec-21,m
Jan-22,m
Feb-22,m
Mar-22,m
Apr-22,m
May-22,m
Jun-22,m
Jul-22,m
Aug-22,m
Sep-22,m
Oct-22,m
Nov-22,m
Dec-22,m
