dimension_name,dimension
Month,str:field:UC_Starts:F_UC_DATE:DATE_NAME
Jobcentre Plus,str:field:UC_Starts:V_F_UC_STARTS:JCP_OFFICE_CODE
Postcode Area - District,str:field:UC_Starts:V_F_UC_STARTS:POSTCODE_DISTRICT
Age (bands and single year),str:field:UC_Starts:V_F_UC_STARTS:AGE_CODE
Gender,str:field:UC_Starts:V_F_UC_STARTS:GENDER_CODE
