measure_name,measure
Households on Universal Credit,str:count:UC_Households:V_F_UC_HOUSEHOLDS
Payment Amount,str:measure:UC_Households:V_F_UC_HOUSEHOLDS:HNTOTAL_PAYMENT_AMOUNT
RSRS reduction,str:measure:UC_Households:V_F_UC_HOUSEHOLDS:rsrs_deduction
