geography_code,Number of persons,number_of_children,pensioners,working_age
E05000976,12715.0,,,
E05000977,11705.0,,,
E05000978,11146.0,,,
E05000979,11136.0,,,
E05000980,10961.0,,,
E05000981,11361.0,,,
E05000982,12459.0,,,
E05000983,10621.0,,,
E05000984,12260.0,,,
E05000985,11971.0,,,
E05000986,12141.0,,,
E05000987,13714.0,,,
E05000988,11280.0,,,
E05000989,12219.0,,,
E05000990,12889.0,,,
E05000991,11129.0,,,
E05000992,11409.0,,,
E05000993,11141.0,,,
E05000994,12843.0,,,
E05000995,13181.0,,,
E05000996,9790.0,,,
E08000016,244893.0,11432.0,7947.0,15187.0
