dimension_name,dimension
Quarter,str:field:PC:F_PC_QTR:DATE_NAME
National - Regional - LA - OAs,str:field:PC:V_F_PC_CASELOAD:COA_CODE
Westminster Parliamentary Constituencies,str:field:PC:V_F_PC_CASELOAD:PARLC_code
Scottish Parliamentary Constituencies,str:field:PC:V_F_PC_CASELOAD:SPARLC_code
Age (bands and single year),str:field:PC:V_F_PC_CASELOAD:CNAGE
Duration of Claim,str:field:PC:V_F_PC_CASELOAD:CTDURTN
Gender,str:field:PC:V_F_PC_CASELOAD:CCSEX
Grouped Amount of Benefit,str:field:PC:V_F_PC_CASELOAD:AMTGP
Partner indicator,str:field:PC:V_F_PC_CASELOAD:PTNR
Type of Pension Credit,str:field:PC:V_F_PC_CASELOAD:PCTYPE
