geography_code,Number of persons,number_of_children,pensioners,working_age
E05011350,15239.0,,,
E05011351,24133.0,,,
E05011352,14665.0,,,
E05011353,14737.0,,,
E05011354,17421.0,,,
E05011355,16237.0,,,
E05011356,20557.0,,,
E05011357,13017.0,,,
E05011358,16848.0,,,
E05011359,18320.0,,,
E05011360,17080.0,,,
E05011361,18790.0,,,
E05011362,14493.0,,,
E05011363,15470.0,,,
E05011364,16581.0,,,
E05011365,21365.0,,,
E05011366,19872.0,,,
E05011367,14849.0,,,
E05011368,22038.0,,,
E05011369,19180.0,,,
E05011370,19379.0,,,
E05011371,17855.0,,,
E05011372,20745.0,,,
E05011373,17831.0,,,
E05011374,13904.0,,,
E05011375,14845.0,,,
E05011376,20356.0,,,
E05011377,17507.0,,,
E05011378,16570.0,,,
E05011379,16137.0,,,
E05011380,15074.0,,,
E05011381,14646.0,,,
E08000003,549853.0,48555.0,15376.0,32808.0
