dimension_name,dimension
Quarter,str:field:CMS_PARENT:F_P_DATE:DATE_NAME
National - Regional - LA - OAs,str:field:CMS_PARENT:V_F_CMS_PARENT:coa
National - Regional - LA - Ward,str:field:CMS_PARENT:V_F_CMS_PARENT:WARD_CODE
Scottish Parliamentary Constituencies,str:field:CMS_PARENT:V_F_CMS_PARENT:SPC_CODE
Westminster Parliamentary Constituencies,str:field:CMS_PARENT:V_F_CMS_PARENT:PARLC_CODE
Age Band,str:field:CMS_PARENT:V_F_CMS_PARENT:age
Gender,str:field:CMS_PARENT:V_F_CMS_PARENT:sex
Compliance (Collect & Pay),str:field:CMS_PARENT:V_F_CMS_PARENT:cp_comp_band
Maintenance due (Collect & Pay),str:field:CMS_PARENT:V_F_CMS_PARENT:cp_due_band
Maintenance due (Direct Pay),str:field:CMS_PARENT:V_F_CMS_PARENT:dp_due_band
Method of Payment,str:field:CMS_PARENT:V_F_CMS_PARENT:cp_mopf
Number of Arrangements,str:field:CMS_PARENT:V_F_CMS_PARENT:cases
Number of Children Covered,str:field:CMS_PARENT:V_F_CMS_PARENT:children
Universal Credit Status,str:field:CMS_PARENT:V_F_CMS_PARENT:uc_group
