dimension_name,dimension
Year,str:field:CILIF_REL:F_CILIF_DATE:DATE_NAME
National - Regional - LA - OAs,str:field:CILIF_REL:V_F_CILIF_REL:COA
National - Regional - LA - Wards,str:field:CILIF_REL:V_F_CILIF_REL:WARD_CODE
Westminster Parliamentary Constituency,str:field:CILIF_REL:V_F_CILIF_REL:PARLC_CODE
Age of Child (years and bands),['str:field:CILIF_REL:V_F_CILIF_REL:GB_COA']
Gender of Child,['National - Regional - LA - OAs (GB)']
Family Type,str:field:CILIF_REL:V_F_CILIF_REL:CHILD_AGE
Work Status,str:field:CILIF_REL:V_F_CILIF_REL:CHILD_GENDER
