date,geography_code,geography_name,variable_name,value
2022,E08000008,Tameside,lq_weekly_wage,349
2022,E08000009,Trafford,median_weekly_wage,592.9
2022,E08000009,Trafford,mean_weekly_wage,687.4
2022,E08000009,Trafford,lq_weekly_wage,354.5
2022,E08000010,Wigan,median_weekly_wage,499.9
2022,E08000010,Wigan,mean_weekly_wage,559.6
2022,E08000010,Wigan,lq_weekly_wage,355.8
2022,E10000017,Lancashire,median_weekly_wage,487.4
2022,E10000017,Lancashire,mean_weekly_wage,558.9
2022,E10000017,Lancashire,lq_weekly_wage,330.7
2022,E07000117,Burnley,median_weekly_wage,464.1
2022,E07000117,Burnley,mean_weekly_wage,520.6
2022,E07000117,Burnley,lq_weekly_wage,312.3
2022,E07000118,Chorley,median_weekly_wage,549.5
2022,E07000118,Chorley,mean_weekly_wage,621.7
2022,E07000118,Chorley,lq_weekly_wage,381.7
2022,E07000119,Fylde,median_weekly_wage,525.2
2022,E07000119,Fylde,mean_weekly_wage,593.8
2022,E07000119,Fylde,lq_weekly_wage,332.4
2022,E07000120,Hyndburn,median_weekly_wage,503.7
2022,E07000120,Hyndburn,mean_weekly_wage,587.4
2022,E07000120,Hyndburn,lq_weekly_wage,355.9
2022,E07000121,Lancaster,median_weekly_wage,475.5
2022,E07000121,Lancaster,mean_weekly_wage,518.2
2022,E07000121,Lancaster,lq_weekly_wage,298.7
2022,E07000122,Pendle,median_weekly_wage,438.8
2022,E07000122,Pendle,mean_weekly_wage,514.3
2022,E07000122,Pendle,lq_weekly_wage,297.2
2022,E07000123,Preston,median_weekly_wage,440.9
2022,E07000123,Preston,mean_weekly_wage,523.1
2022,E07000123,Preston,lq_weekly_wage,288.8
2022,E07000124,Ribble Valley,median_weekly_wage,537.3
2022,E07000124,Ribble Valley,mean_weekly_wage,648.8
2022,E07000124,Ribble Valley,lq_weekly_wage,379.3
2022,E07000125,Rossendale,median_weekly_wage,463
2022,E07000125,Rossendale,mean_weekly_wage,545.1
2022,E07000125,Rossendale,lq_weekly_wage,315
2022,E07000126,South Ribble,median_weekly_wage,484.5
2022,E07000126,South Ribble,mean_weekly_wage,548.5
2022,E07000126,South Ribble,lq_weekly_wage,350.8
2022,E07000127,West Lancashire,median_weekly_wage,491
2022,E07000127,West Lancashire,mean_weekly_wage,559.4
2022,E07000127,West Lancashire,lq_weekly_wage,376
2022,E07000128,Wyre,median_weekly_wage,479.3
2022,E07000128,Wyre,mean_weekly_wage,568.8
2022,E07000128,Wyre,lq_weekly_wage,327.9
2022,E11000002,Merseyside Met County,median_weekly_wage,511.9
2022,E11000002,Merseyside Met County,mean_weekly_wage,574.3
2022,E11000002,Merseyside Met County,lq_weekly_wage,354.6
2022,E08000011,Knowsley,median_weekly_wage,519.3
2022,E08000011,Knowsley,mean_weekly_wage,573.6
2022,E08000011,Knowsley,lq_weekly_wage,372.6
2022,E08000012,Liverpool,median_weekly_wage,509.4
2022,E08000012,Liverpool,mean_weekly_wage,568.9
2022,E08000012,Liverpool,lq_weekly_wage,339.3
2022,E08000013,St. Helens,median_weekly_wage,547.9
2022,E08000013,St. Helens,mean_weekly_wage,608.2
2022,E08000013,St. Helens,lq_weekly_wage,364.2
2022,E08000014,Sefton,median_weekly_wage,480.2
2022,E08000014,Sefton,mean_weekly_wage,550.5
2022,E08000014,Sefton,lq_weekly_wage,345.1
2022,E08000015,Wirral,median_weekly_wage,522
2022,E08000015,Wirral,mean_weekly_wage,584.2
2022,E08000015,Wirral,lq_weekly_wage,358.2
2022,E12000003,Yorkshire and The Humber,median_weekly_wage,499.4
2022,E12000003,Yorkshire and The Humber,mean_weekly_wage,567.9
2022,E12000003,Yorkshire and The Humber,lq_weekly_wage,343.9
2022,E06000011,East Riding of Yorkshire UA,median_weekly_wage,535.8
2022,E06000011,East Riding of Yorkshire UA,mean_weekly_wage,599.3
2022,E06000011,East Riding of Yorkshire UA,lq_weekly_wage,366.7
2022,E06000010,Kingston upon Hull UA,median_weekly_wage,466.6
2022,E06000010,Kingston upon Hull UA,mean_weekly_wage,489.7
2022,E06000010,Kingston upon Hull UA,lq_weekly_wage,317.6
2022,E06000012,North East Lincolnshire UA,median_weekly_wage,492.7
2022,E06000012,North East Lincolnshire UA,mean_weekly_wage,560.9
2022,E06000012,North East Lincolnshire UA,lq_weekly_wage,333.3
2022,E06000013,North Lincolnshire UA,median_weekly_wage,511.9
2022,E06000013,North Lincolnshire UA,mean_weekly_wage,589.5
2022,E06000013,North Lincolnshire UA,lq_weekly_wage,355.2
2022,E06000014,York UA,median_weekly_wage,505.2
2022,E06000014,York UA,mean_weekly_wage,594.2
2022,E06000014,York UA,lq_weekly_wage,352.4
2022,E10000023,North Yorkshire,median_weekly_wage,494.9
2022,E10000023,North Yorkshire,mean_weekly_wage,580.1
2022,E10000023,North Yorkshire,lq_weekly_wage,331.8
2022,E07000163,Craven,median_weekly_wage,470.8
2022,E07000163,Craven,mean_weekly_wage,616.4
2022,E07000163,Craven,lq_weekly_wage,286.5
2022,E07000164,Hambleton,median_weekly_wage,502.9
2022,E07000164,Hambleton,mean_weekly_wage,573.1
2022,E07000164,Hambleton,lq_weekly_wage,344.3
2022,E07000165,Harrogate,median_weekly_wage,536.6
2022,E07000165,Harrogate,mean_weekly_wage,629.8
2022,E07000165,Harrogate,lq_weekly_wage,351.1
2022,E07000166,Richmondshire,median_weekly_wage,487.6
2022,E07000166,Richmondshire,mean_weekly_wage,548.8
2022,E07000166,Richmondshire,lq_weekly_wage,319.6
2022,E07000167,Ryedale,median_weekly_wage,421.6
2022,E07000167,Ryedale,mean_weekly_wage,468.3
2022,E07000167,Ryedale,lq_weekly_wage,NA
2022,E07000168,Scarborough,median_weekly_wage,471.8
2022,E07000168,Scarborough,mean_weekly_wage,512.5
2022,E07000168,Scarborough,lq_weekly_wage,315.1
2022,E07000169,Selby,median_weekly_wage,535.9
2022,E07000169,Selby,mean_weekly_wage,627.1
2022,E07000169,Selby,lq_weekly_wage,373.7
2022,E11000003,South Yorkshire Met County,median_weekly_wage,488.7
