dimension_name,dimension
Start Month,str:field:WHP_Outcomes:F_WHP_DATE:DATE_NAME
Job Outcome Month,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:PAYMENT_MONTH
National - Regional - LA - OAs,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:COA11_R
Westminster Parliamentary Constituencies,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:PARLC_CODE
Age (bands and single year),str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:AGE
Area,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:CONTRACT_REFERENCE_NUMBER
Devolved Deal Area,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:DDA_FLAG
Eligibility Group,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:ENTRY_TYPE
Gender,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:CCSEX
Job Outcome Within 6 Months of Start,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:JO_6m_flg
Job Outcome Within 12 Months of Start,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:JO_12m_flg
Job Outcome Within 24 Months of Start,str:field:WHP_Outcomes:V_F_WHP_OUTCOMES:JO_24m_flg
