geography_code,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05010728,16697.0,,,,[]
E05010729,14440.0,,,,[]
E05010730,9738.0,,,,[]
E05010731,18367.0,,,,[]
E05010732,15161.0,,,,[]
E05010733,16495.0,,,,[]
E05010734,9954.0,,,,[]
E05010735,12093.0,,,,[]
E05010736,17109.0,,,,[]
E05010737,17584.0,,,,[]
E05010738,13788.0,,,,[]
E05010739,15600.0,,,,[]
E05010740,15244.0,,,,[]
E05010741,10815.0,,,,[]
E05010742,17775.0,,,,[]
E05010743,10824.0,,,,[]
E05010744,9930.0,,,,[]
E05010745,17921.0,,,,[]
E05010746,11282.0,,,,[]
E05010747,23566.0,,,,[]
E05010748,18402.0,,,,[]
E08000017,308705.0,16660.0,9387.0,14884.0,['E47000002']
