financial_year,number_of_children_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2019-20,No children,1269183.0,293459.0,North East,E12000001
2019-20,One child,291282.0,82470.0,North East,E12000001
2019-20,Three or more children,83344.0,177872.0,North East,E12000001
2019-20,Two children,313458.0,110936.0,North East,E12000001
2019-20,No children,3431172.0,669972.0,North West,E12000002
2019-20,One child,1046623.0,161879.0,North West,E12000002
2019-20,Three or more children,435140.0,263012.0,North West,E12000002
2019-20,Two children,967463.0,238222.0,North West,E12000002
2019-20,No children,2563322.0,582107.0,Yorkshire and The Humber,E12000003
2019-20,One child,553680.0,127232.0,Yorkshire and The Humber,E12000003
2019-20,Three or more children,338325.0,227352.0,Yorkshire and The Humber,E12000003
2019-20,Two children,787433.0,223980.0,Yorkshire and The Humber,E12000003
