financial_year,type_of_individual_by_age_category,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2019-20,Child,324964.0,204209.0,North East,E12000001
2019-20,Pensioner,400152.0,88903.0,North East,E12000001
2019-20,Working-Age,1232151.0,371625.0,North East,E12000001
2019-20,Child,1177016.0,379766.0,North West,E12000002
2019-20,Pensioner,1041074.0,258881.0,North West,E12000002
2019-20,Working-Age,3662308.0,694438.0,North West,E12000002
2019-20,Child,835820.0,321885.0,Yorkshire and The Humber,E12000003
2019-20,Pensioner,800788.0,185077.0,Yorkshire and The Humber,E12000003
2019-20,Working-Age,2606152.0,653709.0,Yorkshire and The Humber,E12000003
