date,geography_code,variable_name,value
2022,E06000047,Number of households,251110
2022,E06000005,Number of households,52580
2022,E06000001,Number of households,44630
2022,E06000002,Number of households,65190
2022,E06000057,Number of households,157720
2022,E06000003,Number of households,65640
2022,E06000004,Number of households,89040
2022,E08000037,Number of households,94640
2022,E08000021,Number of households,137400
2022,E08000022,Number of households,100390
2022,E08000023,Number of households,72580
2022,E08000024,Number of households,132150
2022,E06000008,Number of households,62510
2022,E06000009,Number of households,72080
2022,E06000049,Number of households,184420
2022,E06000050,Number of households,162820
2022,E06000006,Number of households,58530
2022,E06000007,Number of households,94680
2022,E07000026,Number of households,47810
2022,E07000027,Number of households,34040
2022,E07000028,Number of households,54170
2022,E07000029,Number of households,33830
2022,E07000030,Number of households,27390
2022,E07000031,Number of households,53840
2022,E08000001,Number of households,126580
2022,E08000002,Number of households,84520
2022,E08000003,Number of households,243470
2022,E08000004,Number of households,97870
2022,E08000005,Number of households,96250
2022,E08000006,Number of households,127660
2022,E08000007,Number of households,131970
2022,E08000008,Number of households,104080
2022,E08000009,Number of households,102270
2022,E08000010,Number of households,149880
2022,E07000117,Number of households,42340
2022,E07000118,Number of households,52390
2022,E07000119,Number of households,40450
2022,E07000120,Number of households,37440
2022,E07000121,Number of households,66100
2022,E07000122,Number of households,41050
2022,E07000123,Number of households,66120
2022,E07000124,Number of households,28600
2022,E07000125,Number of households,32320
2022,E07000126,Number of households,50880
2022,E07000127,Number of households,51230
2022,E07000128,Number of households,54150
2022,E08000011,Number of households,70120
2022,E08000012,Number of households,236240
2022,E08000014,Number of households,129410
2022,E08000013,Number of households,85200
2022,E08000015,Number of households,150460
2022,E06000011,Number of households,160790
2022,E06000010,Number of households,123690
2022,E06000012,Number of households,74530
2022,E06000013,Number of households,76740
2022,E06000014,Number of households,92090
2022,E07000163,Number of households,28160
2022,E07000164,Number of households,43800
2022,E07000165,Number of households,75620
2022,E07000166,Number of households,23770
2022,E07000167,Number of households,26800
2022,E07000168,Number of households,58170
2022,E07000169,Number of households,41400
2022,E08000016,Number of households,113800
2022,E08000017,Number of households,140990
2022,E08000018,Number of households,119740
2022,E08000019,Number of households,257570
2022,E08000032,Number of households,220630
2022,E08000033,Number of households,96330
2022,E08000034,Number of households,190200
2022,E08000035,Number of households,366100
2022,E08000036,Number of households,161930
2022,E47000001,Number of households,1264550
2022,E47000002,Number of households,632100
2022,E47000003,Number of households,1035190
2022,E47000004,Number of households,729960
2022,E47000006,Number of households,317080
2022,E47000010,Number of households,550480
2022,E47000011,Number of households,395510
2022,E10000006,Number of households,251080
2022,E10000017,Number of households,563070
2022,E10000023,Number of households,297720
2022,E11000001,Number of households,1264550
2022,E11000002,Number of households,671430
2022,E11000003,Number of households,632100
2022,E11000006,Number of households,1035190
2022,E11000007,Number of households,537160
2022,E12000001,Number of households,1263070
2022,E12000002,Number of households,3385170
2022,E12000003,Number of households,2492850
2022,E12999901,Number of households,7141090
