geography_code,Number of persons,pensioners,working_age
E06000006,128577.0,4189.0,7231.0
E06000007,211227.0,4965.0,7088.0
E06000008,154922.0,4605.0,10747.0
E06000009,140954.0,6221.0,12720.0
E06000049,400528.0,7735.0,12063.0
E06000050,357699.0,8186.0,11750.0
E07000026,96384.0,2870.0,4185.0
E07000027,67375.0,2025.0,3667.0
E07000028,110255.0,2724.0,4664.0
E07000029,67176.0,2026.0,3248.0
E07000030,54955.0,1068.0,1791.0
E07000031,104676.0,1968.0,2675.0
E07000117,94721.0,2911.0,6845.0
E07000118,117937.0,2494.0,3991.0
E07000119,81845.0,2229.0,2879.0
E07000120,82261.0,2548.0,4284.0
E07000121,142162.0,3712.0,6107.0
E07000122,95789.0,2708.0,4954.0
E07000123,147617.0,3642.0,8154.0
E07000124,61907.0,944.0,1149.0
E07000125,71010.0,1925.0,3100.0
E07000126,111204.0,2375.0,3156.0
E07000127,117125.0,3665.0,5028.0
E07000128,112457.0,3784.0,5105.0
E08000001,296041.0,8766.0,14377.0
E08000002,193823.0,4652.0,8253.0
E08000003,549853.0,15376.0,32808.0
E08000004,242072.0,6730.0,14853.0
E08000005,224087.0,6741.0,13754.0
E08000006,270764.0,8252.0,17465.0
E08000007,295243.0,6854.0,12490.0
E08000008,231199.0,7217.0,10045.0
E08000009,235546.0,5004.0,8106.0
E08000010,329759.0,9850.0,14797.0
E08000011,154974.0,7107.0,10472.0
E08000012,484488.0,21649.0,43300.0
E08000013,183391.0,5836.0,8650.0
E08000014,279692.0,10106.0,14656.0
E08000015,320600.0,11448.0,18145.0
E10000006,500821.0,,
E10000017,1236035.0,,
E12000002,7422295.0,217107.0,378752.0
E47000001,2868387.0,,
E47000004,1551722.0,,
