geography_code,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05009853,5616.0,,,,[]
E05009854,6161.0,,,,[]
E05009855,9037.0,,,,[]
E05009856,8632.0,,,,[]
E05009857,13001.0,,,,[]
E05009858,8507.0,,,,[]
E05009859,6226.0,,,,[]
E05009860,5150.0,,,,[]
E05009861,5317.0,,,,[]
E05009862,6529.0,,,,[]
E05009863,10664.0,,,,[]
E05009864,5424.0,,,,[]
E05009865,5183.0,,,,[]
E05009866,12335.0,,,,[]
E05009867,3077.0,,,,[]
E05009868,4857.0,,,,[]
E05009869,9815.0,,,,[]
E05009870,7658.0,,,,[]
E05009871,3130.0,,,,[]
E05009872,4966.0,,,,[]
E06000002,143734.0,13432.0,5359.0,12595.0,['E47000006']
