,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05001444,17746.0,,,,[]
E05001445,15892.0,,,,[]
E05001446,18398.0,,,,[]
E05001447,16843.0,,,,[]
E05001448,15875.0,,,,[]
E05001449,17299.0,,,,[]
E05001450,15979.0,,,,[]
E05001451,15513.0,,,,[]
E05001452,14363.0,,,,[]
E05001453,17334.0,,,,[]
E05001454,16678.0,,,,[]
E05001455,18035.0,,,,[]
E05001456,15238.0,,,,[]
E05001457,19279.0,,,,[]
E05001458,16568.0,,,,[]
E05001459,17232.0,,,,[]
E05001460,17647.0,,,,[]
E05001461,17736.0,,,,[]
E05001462,14906.0,,,,[]
E05001463,16555.0,,,,[]
E05001464,16476.0,,,,[]
E08000036,353802.0,15001.0,10024.0,19608.0,['E47000003']
