,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05000779,12807.0,,,,[]
E05000780,12507.0,,,,[]
E05000781,13241.0,,,,[]
E05000782,14294.0,,,,[]
E05000783,17622.0,,,,[]
E05000784,15413.0,,,,[]
E05000785,13444.0,,,,[]
E05000786,14195.0,,,,[]
E05000787,15854.0,,,,[]
E05000788,14764.0,,,,[]
E05000789,14291.0,,,,[]
E05000790,12724.0,,,,[]
E05000791,14491.0,,,,[]
E05000792,14270.0,,,,[]
E05000793,13854.0,,,,[]
E05000794,12700.0,,,,[]
E05000795,11512.0,,,,[]
E05000796,14153.0,,,,[]
E05000797,15046.0,,,,[]
E05000798,13759.0,,,,[]
E05000799,13256.0,,,,[]
E08000007,295243.0,10864.0,6854.0,12490.0,['E47000001']
