geography_code,Number of persons,number_of_children,pensioners,working_age
E05001527,7408.0,,,
E05001528,7221.0,,,
E05001529,8399.0,,,
E05001530,6517.0,,,
E05001531,5208.0,,,
E05001532,6322.0,,,
E05001533,10579.0,,,
E05001534,5433.0,,,
E05001535,6530.0,,,
E05001536,7894.0,,,
E05001537,6257.0,,,
E05001538,10740.0,,,
E05001539,12850.0,,,
E05001540,12326.0,,,
E05001541,7080.0,,,
E05001542,4236.0,,,
E05001543,6471.0,,,
E05001544,7905.0,,,
E05001545,5971.0,,,
E05001546,9512.0,,,
E05001547,7338.0,,,
E05001548,6222.0,,,
E05001549,7605.0,,,
E05001550,6853.0,,,
E05001551,3522.0,,,
E05001552,11020.0,,,
E05009853,5616.0,,,
E05009854,6161.0,,,
E05009855,9037.0,,,
E05009856,8632.0,,,
E05009857,13001.0,,,
E05009858,8507.0,,,
E05009859,6226.0,,,
E05009860,5150.0,,,
E05009861,5317.0,,,
E05009862,6529.0,,,
E05009863,10664.0,,,
E05009864,5424.0,,,
E05009865,5183.0,,,
E05009866,12335.0,,,
E05009867,3077.0,,,
E05009868,4857.0,,,
E05009869,9815.0,,,
E05009870,7658.0,,,
E05009871,3130.0,,,
E05009872,4966.0,,,
E05010412,7317.0,,,
E05010413,6739.0,,,
E05010414,6283.0,,,
E05010415,4270.0,,,
E05010416,6535.0,,,
E05010417,6310.0,,,
E05010418,6087.0,,,
E05010419,4587.0,,,
E05010420,3675.0,,,
E05010421,3288.0,,,
E05010422,3815.0,,,
E05010423,6435.0,,,
E05010424,4332.0,,,
E05010425,8007.0,,,
E05010426,4262.0,,,
E05010427,6029.0,,,
E05010428,4277.0,,,
E05010429,6614.0,,,
E05010430,4818.0,,,
E05010431,3722.0,,,
E05012437,4292.0,,,
E05012438,6905.0,,,
E05012439,5123.0,,,
E05012440,4679.0,,,
E05012441,7578.0,,,
E05012442,6619.0,,,
E05012443,8063.0,,,
E05012444,6420.0,,,
E05012445,7458.0,,,
E05012446,2367.0,,,
E05012447,6472.0,,,
E05012448,4026.0,,,
E05012449,5199.0,,,
E05012450,6724.0,,,
E05012451,6325.0,,,
E05012452,7115.0,,,
E05012453,6060.0,,,
E05012454,4212.0,,,
E05012455,4739.0,,,
E05012456,5353.0,,,
E05012457,5826.0,,,
E05012458,5947.0,,,
E05012459,5367.0,,,
E05012460,4359.0,,,
E06000001,92571.0,5870.0,4539.0,8638.0
E06000002,143734.0,13432.0,5359.0,12595.0
E06000003,136616.0,7933.0,5548.0,7971.0
E06000004,197030.0,10925.0,6263.0,10789.0
E06000005,108222.0,6070.0,3513.0,5811.0
E47000006,678173.0,,,
