dimension_name,dimension
Benefit Combinations England and Wales,str:count:Ben_Com_New:V_F_BENCOM_NEW
Quarter,str:field:Ben_Com_New:F_BENCOM_QTR_NEW:DATE_NAME
Geography (residence-based),str:group:Ben_Com_New:X_Geography+%28residence-based%29
Age (bands and single year),str:field:Ben_Com_New:V_F_BENCOM_NEW:cnage
Gender,str:field:Ben_Com_New:V_F_BENCOM_NEW:ccsex
Number of Benefits,str:field:Ben_Com_New:V_F_BENCOM_NEW:NoOfBen
Working or Pension Age Group,str:field:Ben_Com_New:V_F_BENCOM_NEW:ageband
Benefit Groups,str:group:Ben_Com_New:X_Benefit+Groups
Benefit,str:group:Ben_Com_New:X_Benefit
