dimension_name,dimension
Month,str:field:BC_UC_Monthly:F_BC_DATE_UC:MONTH
National - Regional - LA - OAs,str:field:BC_UC_Monthly:V_F_UCFS_MONTHLY:CEN2011_COA
Westminster Parliamentary Constituencies,str:field:BC_UC_Monthly:V_F_UCFS_MONTHLY:PARLC_CODE
Family Type,str:field:BC_UC_Monthly:V_F_UCFS_MONTHLY:family_num
Number of Children,str:field:BC_UC_Monthly:V_F_UCFS_MONTHLY:children
Weekly Amount of Benefit Capped (in bands),str:field:BC_UC_Monthly:V_F_UCFS_MONTHLY:weekly_cap_band
