geography_code,Number of persons,number_of_children,pensioners,working_age
E05000840,15909.0,,,
E05000841,12018.0,,,
E05000842,13065.0,,,
E05000843,11893.0,,,
E05000844,12411.0,,,
E05000845,15786.0,,,
E05000846,11694.0,,,
E05000847,13819.0,,,
E05000848,12050.0,,,
E05000849,13703.0,,,
E05000850,11348.0,,,
E05000851,14547.0,,,
E05000852,12811.0,,,
E05000853,14388.0,,,
E05000854,15758.0,,,
E05000855,13338.0,,,
E05000856,12244.0,,,
E05000857,14893.0,,,
E05000858,11513.0,,,
E05000859,12832.0,,,
E05000860,14920.0,,,
E05000861,12317.0,,,
E05000862,13457.0,,,
E05000863,11776.0,,,
E05000864,12222.0,,,
E08000010,329759.0,14957.0,9850.0,14797.0
