,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05010857,19732.0,,,,[]
E05010858,17896.0,,,,[]
E05010859,16997.0,,,,[]
E05010860,23742.0,,,,[]
E05010861,30668.0,,,,[]
E05010862,34077.0,,,,[]
E05010863,18089.0,,,,[]
E05010864,23323.0,,,,[]
E05010865,18667.0,,,,[]
E05010866,17715.0,,,,[]
E05010867,20398.0,,,,[]
E05010868,22347.0,,,,[]
E05010869,19808.0,,,,[]
E05010870,21226.0,,,,[]
E05010871,16840.0,,,,[]
E05010872,19926.0,,,,[]
E05010873,23915.0,,,,[]
E05010874,17136.0,,,,[]
E05010875,23920.0,,,,[]
E05010876,19817.0,,,,[]
E05010877,19073.0,,,,[]
E05010878,21688.0,,,,[]
E05010879,19861.0,,,,[]
E05010880,18590.0,,,,[]
E05010881,18496.0,,,,[]
E05010882,30256.0,,,,[]
E05010883,17288.0,,,,[]
E05010884,17723.0,,,,[]
E08000019,554401.0,29665.0,16463.0,26299.0,['E47000002']
