,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05000650,14133.0,,,,[]
E05000651,11331.0,,,,[]
E05000652,14078.0,,,,[]
E05000653,13503.0,,,,[]
E05000654,16828.0,,,,[]
E05000655,16586.0,,,,[]
E05000656,16402.0,,,,[]
E05000657,15257.0,,,,[]
E05000658,15275.0,,,,[]
E05000659,14290.0,,,,[]
E05000660,13389.0,,,,[]
E05000661,12024.0,,,,[]
E05000662,14602.0,,,,[]
E05000663,14497.0,,,,[]
E05000664,12593.0,,,,[]
E05000665,17707.0,,,,[]
E05000666,14595.0,,,,[]
E05000667,14406.0,,,,[]
E05000668,13897.0,,,,[]
E05000669,12855.0,,,,[]
E05000719,15090.0,,,,[]
E05000720,11116.0,,,,[]
E05000721,11415.0,,,,[]
E05000722,11456.0,,,,[]
E05000723,13404.0,,,,[]
E05000724,10192.0,,,,[]
E05000725,10205.0,,,,[]
E05000726,10447.0,,,,[]
E05000727,12515.0,,,,[]
E05000728,14402.0,,,,[]
E05000729,9781.0,,,,[]
E05000730,10794.0,,,,[]
E05000731,9753.0,,,,[]
E05000732,10024.0,,,,[]
E05000733,10723.0,,,,[]
E05000734,12707.0,,,,[]
E05000735,15679.0,,,,[]
E05000736,10123.0,,,,[]
E05000737,13629.0,,,,[]
E05000738,14173.0,,,,[]
E05000779,12807.0,,,,[]
E05000780,12507.0,,,,[]
E05000781,13241.0,,,,[]
E05000782,14294.0,,,,[]
E05000783,17622.0,,,,[]
E05000784,15413.0,,,,[]
E05000785,13444.0,,,,[]
E05000786,14195.0,,,,[]
E05000787,15854.0,,,,[]
E05000788,14764.0,,,,[]
E05000789,14291.0,,,,[]
E05000790,12724.0,,,,[]
E05000791,14491.0,,,,[]
E05000792,14270.0,,,,[]
E05000793,13854.0,,,,[]
E05000794,12700.0,,,,[]
E05000795,11512.0,,,,[]
E05000796,14153.0,,,,[]
E05000797,15046.0,,,,[]
E05000798,13759.0,,,,[]
E05000799,13256.0,,,,[]
E05000800,11545.0,,,,[]
E05000801,12635.0,,,,[]
E05000802,11582.0,,,,[]
E05000803,12490.0,,,,[]
E05000804,11112.0,,,,[]
E05000805,10982.0,,,,[]
E05000806,11117.0,,,,[]
E05000807,12302.0,,,,[]
E05000808,11123.0,,,,[]
E05000809,12832.0,,,,[]
E05000810,10880.0,,,,[]
E05000811,12529.0,,,,[]
E05000812,14819.0,,,,[]
E05000813,11608.0,,,,[]
E05000814,9975.0,,,,[]
E05000815,11509.0,,,,[]
E05000816,13996.0,,,,[]
E05000817,12860.0,,,,[]
E05000818,11221.0,,,,[]
E05000819,13379.0,,,,[]
E05000820,10345.0,,,,[]
E05000821,9285.0,,,,[]
E05000822,14167.0,,,,[]
E05000823,10809.0,,,,[]
E05000824,10445.0,,,,[]
E05000825,12792.0,,,,[]
E05000826,9708.0,,,,[]
E05000827,10040.0,,,,[]
E05000828,10633.0,,,,[]
E05000829,12442.0,,,,[]
E05000830,10141.0,,,,[]
E05000831,10858.0,,,,[]
E05000832,12935.0,,,,[]
E05000833,11954.0,,,,[]
E05000834,12126.0,,,,[]
E05000835,10922.0,,,,[]
E05000836,11307.0,,,,[]
E05000837,11160.0,,,,[]
E05000838,11148.0,,,,[]
E05000839,10983.0,,,,[]
E05000840,15909.0,,,,[]
E05000841,12018.0,,,,[]
E05000842,13065.0,,,,[]
E05000843,11893.0,,,,[]
E05000844,12411.0,,,,[]
E05000845,15786.0,,,,[]
E05000846,11694.0,,,,[]
E05000847,13819.0,,,,[]
E05000848,12050.0,,,,[]
E05000849,13703.0,,,,[]
E05000850,11348.0,,,,[]
E05000851,14547.0,,,,[]
E05000852,12811.0,,,,[]
E05000853,14388.0,,,,[]
E05000854,15758.0,,,,[]
E05000855,13338.0,,,,[]
E05000856,12244.0,,,,[]
E05000857,14893.0,,,,[]
E05000858,11513.0,,,,[]
E05000859,12832.0,,,,[]
E05000860,14920.0,,,,[]
E05000861,12317.0,,,,[]
E05000862,13457.0,,,,[]
E05000863,11776.0,,,,[]
E05000864,12222.0,,,,[]
E05000886,14757.0,,,,[]
E05000887,14722.0,,,,[]
E05000888,14868.0,,,,[]
E05000889,35830.0,,,,[]
E05000890,13401.0,,,,[]
E05000891,13669.0,,,,[]
E05000892,14893.0,,,,[]
E05000893,14079.0,,,,[]
E05000894,15247.0,,,,[]
E05000895,14311.0,,,,[]
E05000896,16839.0,,,,[]
E05000897,16195.0,,,,[]
E05000898,15956.0,,,,[]
E05000899,17948.0,,,,[]
E05000900,17791.0,,,,[]
E05000901,12973.0,,,,[]
E05000902,12858.0,,,,[]
E05000903,18483.0,,,,[]
E05000904,15729.0,,,,[]
E05000905,19987.0,,,,[]
E05000906,20898.0,,,,[]
E05000907,24096.0,,,,[]
E05000908,12773.0,,,,[]
E05000909,21432.0,,,,[]
E05000910,17146.0,,,,[]
E05000911,16013.0,,,,[]
E05000912,14634.0,,,,[]
E05000913,13604.0,,,,[]
E05000914,13036.0,,,,[]
E05000915,16306.0,,,,[]
E05000932,12784.0,,,,[]
E05000933,12740.0,,,,[]
E05000934,11259.0,,,,[]
E05000935,12346.0,,,,[]
E05000936,11880.0,,,,[]
E05000937,12531.0,,,,[]
E05000938,13893.0,,,,[]
E05000939,12786.0,,,,[]
E05000940,11503.0,,,,[]
E05000941,13354.0,,,,[]
E05000942,13328.0,,,,[]
E05000943,11844.0,,,,[]
E05000944,12316.0,,,,[]
E05000945,12169.0,,,,[]
E05000946,12186.0,,,,[]
E05000947,12868.0,,,,[]
E05000948,15237.0,,,,[]
E05000949,11429.0,,,,[]
E05000950,12160.0,,,,[]
E05000951,11499.0,,,,[]
E05000952,12444.0,,,,[]
E05000953,13343.0,,,,[]
E05000954,15669.0,,,,[]
E05000955,16256.0,,,,[]
E05000956,16926.0,,,,[]
E05000957,16427.0,,,,[]
E05000958,13986.0,,,,[]
E05000959,14201.0,,,,[]
E05000960,14195.0,,,,[]
E05000961,13728.0,,,,[]
E05000962,13126.0,,,,[]
E05000963,13451.0,,,,[]
E05000964,15086.0,,,,[]
E05000965,16086.0,,,,[]
E05000966,13958.0,,,,[]
E05000967,15162.0,,,,[]
E05000968,13784.0,,,,[]
E05000969,13024.0,,,,[]
E05000970,14786.0,,,,[]
E05000971,14751.0,,,,[]
E05000972,15609.0,,,,[]
E05000973,16924.0,,,,[]
E05000974,14658.0,,,,[]
E05000975,12543.0,,,,[]
E05001643,6278.0,,,,[]
E05001644,6291.0,,,,[]
E05001645,7345.0,,,,[]
E05001646,6890.0,,,,[]
E05001647,7178.0,,,,[]
E05001648,6589.0,,,,[]
E05001649,6714.0,,,,[]
E05001650,7010.0,,,,[]
E05001651,6367.0,,,,[]
E05001652,6468.0,,,,[]
E05001653,6619.0,,,,[]
E05001654,6620.0,,,,[]
E05001655,5981.0,,,,[]
E05001656,7532.0,,,,[]
E05001657,6128.0,,,,[]
E05001658,6550.0,,,,[]
E05001659,6414.0,,,,[]
E05001660,6447.0,,,,[]
E05001661,6564.0,,,,[]
E05001662,6144.0,,,,[]
E05001663,6252.0,,,,[]
E05005150,6438.0,,,,[]
E05005151,5259.0,,,,[]
E05005152,5970.0,,,,[]
E05005153,5017.0,,,,[]
E05005154,5253.0,,,,[]
E05005155,7021.0,,,,[]
E05005156,5642.0,,,,[]
E05005157,6309.0,,,,[]
E05005158,5863.0,,,,[]
E05005159,6502.0,,,,[]
E05005160,5981.0,,,,[]
E05005161,6784.0,,,,[]
E05005162,6036.0,,,,[]
E05005163,5649.0,,,,[]
E05005164,5620.0,,,,[]
E05005185,4354.0,,,,[]
E05005186,4447.0,,,,[]
E05005187,4511.0,,,,[]
E05005188,3960.0,,,,[]
E05005189,1533.0,,,,[]
E05005190,4124.0,,,,[]
E05005191,3276.0,,,,[]
E05005192,2724.0,,,,[]
E05005193,5001.0,,,,[]
E05005194,4219.0,,,,[]
E05005195,4518.0,,,,[]
E05005196,3332.0,,,,[]
E05005197,4372.0,,,,[]
E05005198,3165.0,,,,[]
E05005199,5147.0,,,,[]
E05005200,1798.0,,,,[]
E05005201,5084.0,,,,[]
E05005202,4781.0,,,,[]
E05005203,1484.0,,,,[]
E05005204,3276.0,,,,[]
E05005205,6105.0,,,,[]
E05005206,5241.0,,,,[]
E05005207,4453.0,,,,[]
E05005208,4013.0,,,,[]
E05005209,5660.0,,,,[]
E05005210,5236.0,,,,[]
E05005211,4478.0,,,,[]
E05005212,4704.0,,,,[]
E05005213,4349.0,,,,[]
E05005214,4864.0,,,,[]
E05005215,4597.0,,,,[]
E05005216,6436.0,,,,[]
E05005217,4362.0,,,,[]
E05005218,6428.0,,,,[]
E05005219,4408.0,,,,[]
E05005220,6234.0,,,,[]
E05005221,5670.0,,,,[]
E05005316,3948.0,,,,[]
E05005317,3635.0,,,,[]
E05005318,3838.0,,,,[]
E05005319,4127.0,,,,[]
E05005320,5818.0,,,,[]
E05005321,6025.0,,,,[]
E05005322,5822.0,,,,[]
E05005323,4016.0,,,,[]
E05005324,6101.0,,,,[]
E05005325,6228.0,,,,[]
E05005326,5856.0,,,,[]
E05005327,3946.0,,,,[]
E05005328,5879.0,,,,[]
E05005329,6193.0,,,,[]
E05005357,6331.0,,,,[]
E05005358,5456.0,,,,[]
E05005359,3749.0,,,,[]
E05005360,4326.0,,,,[]
E05005361,4463.0,,,,[]
E05005362,4800.0,,,,[]
E05005363,8955.0,,,,[]
E05005364,4729.0,,,,[]
E05005365,2064.0,,,,[]
E05005366,3947.0,,,,[]
E05005367,5564.0,,,,[]
E05005368,3922.0,,,,[]
E05005369,4589.0,,,,[]
E05005370,3780.0,,,,[]
E05005371,2049.0,,,,[]
E05005372,4067.0,,,,[]
E05005373,5912.0,,,,[]
E05005374,4056.0,,,,[]
E05005375,6405.0,,,,[]
E05005376,5341.0,,,,[]
E05005377,5792.0,,,,[]
E05005378,6380.0,,,,[]
E05005379,3947.0,,,,[]
E05005380,1969.0,,,,[]
E05005381,1903.0,,,,[]
E05008610,4997.0,,,,[]
E05008611,12458.0,,,,[]
E05008612,5830.0,,,,[]
E05008613,8695.0,,,,[]
E05008614,6601.0,,,,[]
E05008615,8843.0,,,,[]
E05008616,5850.0,,,,[]
E05008617,4130.0,,,,[]
E05008618,13417.0,,,,[]
E05008619,13406.0,,,,[]
E05008620,6872.0,,,,[]
E05008621,15461.0,,,,[]
E05008622,4604.0,,,,[]
E05008623,5692.0,,,,[]
E05008624,12599.0,,,,[]
E05008625,10806.0,,,,[]
E05008626,9778.0,,,,[]
E05008627,4700.0,,,,[]
E05008628,4097.0,,,,[]
E05008629,9419.0,,,,[]
E05008630,8412.0,,,,[]
E05008631,4461.0,,,,[]
E05008632,13018.0,,,,[]
E05008633,5028.0,,,,[]
E05008634,9187.0,,,,[]
E05008635,4346.0,,,,[]
E05008636,4325.0,,,,[]
E05008637,8446.0,,,,[]
E05008638,8675.0,,,,[]
E05008639,7957.0,,,,[]
E05008640,14204.0,,,,[]
E05008641,4747.0,,,,[]
E05008642,8611.0,,,,[]
E05008643,9609.0,,,,[]
E05008644,8221.0,,,,[]
E05008645,7523.0,,,,[]
E05008646,8294.0,,,,[]
E05008647,4290.0,,,,[]
E05008648,5675.0,,,,[]
E05008649,5259.0,,,,[]
E05008650,4388.0,,,,[]
E05008651,5763.0,,,,[]
E05008652,4817.0,,,,[]
E05008653,4127.0,,,,[]
E05008654,5099.0,,,,[]
E05008655,4985.0,,,,[]
E05008656,4527.0,,,,[]
E05008657,4806.0,,,,[]
E05008658,10257.0,,,,[]
E05008659,8795.0,,,,[]
E05008660,4800.0,,,,[]
E05008661,5760.0,,,,[]
E05009592,6905.0,,,,[]
E05009593,7145.0,,,,[]
E05009594,9754.0,,,,[]
E05009595,6086.0,,,,[]
E05009596,5997.0,,,,[]
E05009597,4222.0,,,,[]
E05009598,2666.0,,,,[]
E05009599,8011.0,,,,[]
E05009600,4744.0,,,,[]
E05009601,5110.0,,,,[]
E05009602,7051.0,,,,[]
E05009603,7940.0,,,,[]
E05009604,2154.0,,,,[]
E05009605,4630.0,,,,[]
E05009606,6125.0,,,,[]
E05009607,2567.0,,,,[]
E05009608,5727.0,,,,[]
E05009609,4428.0,,,,[]
E05009610,7622.0,,,,[]
E05009611,1881.0,,,,[]
E05009612,6892.0,,,,[]
