date,geography_code,geography_name,variable_name,value
2023 Q1,E92000001,ENGLAND,Total households assessed as owed a duty,79840
2023 Q1,E12000007,London,Total households assessed as owed a duty,14320
2023 Q1,E12000001,North East,Total households assessed as owed a duty,4990
2023 Q1,E12000002,North West,Total households assessed as owed a duty,12060
2023 Q1,E12000003,Yorkshire and The Humber,Total households assessed as owed a duty,8070
2023 Q1,E12000004,East Midlands,Total households assessed as owed a duty,6270
2023 Q1,E12000005,West Midlands,Total households assessed as owed a duty,8040
2023 Q1,E12000006,East of England,Total households assessed as owed a duty,7640
2023 Q1,E12000007,London,Total households assessed as owed a duty,14320
2023 Q1,E12000008,South East,Total households assessed as owed a duty,10930
2023 Q1,E12000009,South West,Total households assessed as owed a duty,7520
2023 Q1,E07000223,Adur,Total households assessed as owed a duty,47
2023 Q1,E07000026,Allerdale,Total households assessed as owed a duty,124
2023 Q1,E07000032,Amber Valley,Total households assessed as owed a duty,157
2023 Q1,E07000224,Arun,Total households assessed as owed a duty,230
2023 Q1,E07000170,Ashfield,Total households assessed as owed a duty,178
2023 Q1,E07000105,Ashford,Total households assessed as owed a duty,165
2023 Q1,E07000200,Babergh,Total households assessed as owed a duty,101
2023 Q1,E09000002,Barking & Dagenham,Total households assessed as owed a duty,325
2023 Q1,E09000003,Barnet,Total households assessed as owed a duty,594
2023 Q1,E08000016,Barnsley,Total households assessed as owed a duty,248
2023 Q1,E07000027,Barrow-in-Furness,Total households assessed as owed a duty,83
2023 Q1,E07000066,Basildon,Total households assessed as owed a duty,216
2023 Q1,E07000084,Basingstoke & Deane,Total households assessed as owed a duty,153
2023 Q1,E07000171,Bassetlaw,Total households assessed as owed a duty,95
2023 Q1,E06000022,Bath & North East Somerset,Total households assessed as owed a duty,159
2023 Q1,E06000055,Bedford,Total households assessed as owed a duty,349
2023 Q1,E09000004,Bexley,Total households assessed as owed a duty,189
2023 Q1,E08000025,Birmingham,Total households assessed as owed a duty,1550
2023 Q1,E07000129,Blaby,Total households assessed as owed a duty,123
2023 Q1,E06000008,Blackburn with Darwen,Total households assessed as owed a duty,263
2023 Q1,E06000009,Blackpool,Total households assessed as owed a duty,502
2023 Q1,E07000033,Bolsover,Total households assessed as owed a duty,86
2023 Q1,E08000001,Bolton,Total households assessed as owed a duty,586
2023 Q1,E07000136,Boston,Total households assessed as owed a duty,NA
2023 Q1,E06000058,"Bournemouth, Christchurch and Poole",Total households assessed as owed a duty,637
2023 Q1,E06000036,Bracknell Forest,Total households assessed as owed a duty,156
2023 Q1,E08000032,Bradford,Total households assessed as owed a duty,658
2023 Q1,E07000067,Braintree,Total households assessed as owed a duty,105
2023 Q1,E07000143,Breckland,Total households assessed as owed a duty,156
2023 Q1,E09000005,Brent,Total households assessed as owed a duty,766
2023 Q1,E07000068,Brentwood,Total households assessed as owed a duty,45
2023 Q1,E06000043,Brighton & Hove,Total households assessed as owed a duty,428
2023 Q1,E06000023,Bristol,Total households assessed as owed a duty,758
2023 Q1,E07000144,Broadland,Total households assessed as owed a duty,96
2023 Q1,E09000006,Bromley,Total households assessed as owed a duty,520
2023 Q1,E07000234,Bromsgrove,Total households assessed as owed a duty,101
2023 Q1,E07000095,Broxbourne,Total households assessed as owed a duty,143
2023 Q1,E07000172,Broxtowe,Total households assessed as owed a duty,109
2023 Q1,E06000060,Buckinghamshire,Total households assessed as owed a duty,718
2023 Q1,E07000117,Burnley,Total households assessed as owed a duty,135
2023 Q1,E08000002,Bury,Total households assessed as owed a duty,347
2023 Q1,E08000033,Calderdale,Total households assessed as owed a duty,263
2023 Q1,E07000008,Cambridge,Total households assessed as owed a duty,165
2023 Q1,E09000007,Camden,Total households assessed as owed a duty,215
2023 Q1,E07000192,Cannock Chase,Total households assessed as owed a duty,78
2023 Q1,E07000106,Canterbury,Total households assessed as owed a duty,215
2023 Q1,E07000028,Carlisle,Total households assessed as owed a duty,159
