Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method) (3ya),Child,Pensioner,Working-Age
North East (E12000001),90285,87398,245979
North West (E12000002),427278,233934,705150
Total,764136,510073,1540327
Yorkshire and The Humber (E12000003),246573,188741,589198
