Financial Year,North East (E12000001),North West (E12000002),Total,Yorkshire and The Humber (E12000003)
2014-15 (r),109452,326371,693407,257584
2015-16 (r),130598,351262,762153,280293
2016-17 (r),136245,375283,742938,231410
2017-18 (r),127785,413627,846646,305234
2018-19 (r),135374,371301,843904,337229
2019-20,204209,379766,905860,321885
"2021-22 (covid2122, div)",90285,427278,764136,246573
