geography_code,Number of persons,number_of_children,pensioners,working_age
E05010412,7317.0,,,
E05010413,6739.0,,,
E05010414,6283.0,,,
E05010415,4270.0,,,
E05010416,6535.0,,,
E05010417,6310.0,,,
E05010418,6087.0,,,
E05010419,4587.0,,,
E05010420,3675.0,,,
E05010421,3288.0,,,
E05010422,3815.0,,,
E05010423,6435.0,,,
E05010424,4332.0,,,
E05010425,8007.0,,,
E05010426,4262.0,,,
E05010427,6029.0,,,
E05010428,4277.0,,,
E05010429,6614.0,,,
E05010430,4818.0,,,
E05010431,3722.0,,,
E06000005,108222.0,6070.0,3513.0,5811.0
