dimension_name,dimension
Month,str:field:UC_sanc_rates:V_F_UC_SANC_RATE:DATE_CODE
National - Regional - LA - OAs,str:field:UC_sanc_rates:V_F_UC_SANC_RATE:COA_CODE
Westminster Parliamentary Constituency,str:field:UC_sanc_rates:V_F_UC_SANC_RATE:PCON
Age (bands and single year),['str:field:UC_sanc_rates:V_F_UC_SANC_RATE:JCP_OFFICE_CODE']
Conditionality Regime,['Jobcentre Plus']
Gender,['str:field:UC_sanc_rates:V_F_UC_SANC_RATE:POSTCODE_DISTRICT']
Sanction Indicator,['Postcode Area - District']
