dates_date,freq
April 2019,m
May 2019,m
June 2019,m
July 2019,m
August 2019,m
September 2019,m
October 2019,m
November 2019,m
December 2019,m
January 2020,m
February 2020,m
March 2020,m
April 2020,m
May 2020,m
June 2020,m
July 2020,m
August 2020,m
September 2020,m
October 2020,m
November 2020,m
December 2020,m
January 2021,m
February 2021,m
March 2021,m
April 2021,m
May 2021,m
June 2021,m
July 2021,m
August 2021,m
September 2021,m
October 2021,m
November 2021,m
December 2021,m
January 2022,m
February 2022,m
March 2022,m
April 2022,m
May 2022,m
June 2022,m
July 2022,m
August 2022,m
September 2022,m
October 2022,m
November 2022,m
December 2022,m
January 2023,m
February 2023,m
March 2023,m
April 2023,m
May 2023,m
