date,geography_code,age_band,variable_name,value
2021,E07000026,11-15,Number of persons,5361
2021,E07000026,16-19,Number of persons,3678
2021,E07000026,20-64,Number of persons,53042
2021,E07000026,5-10,Number of persons,5960
2021,E07000026,65+,Number of persons,24031
2021,E07000026,All Ages,Number of persons,96384
2021,E07000027,0-4,Number of persons,3403
2021,E07000027,11-15,Number of persons,3671
2021,E07000027,16-19,Number of persons,2800
2021,E07000027,20-64,Number of persons,38525
2021,E07000027,5-10,Number of persons,4403
2021,E07000027,65+,Number of persons,14573
2021,E07000027,All Ages,Number of persons,67375
2021,E07000028,0-4,Number of persons,5367
2021,E07000028,11-15,Number of persons,6011
2021,E07000028,16-19,Number of persons,4451
2021,E07000028,20-64,Number of persons,63080
2021,E07000028,5-10,Number of persons,7333
2021,E07000028,65+,Number of persons,24013
2021,E07000028,All Ages,Number of persons,110255
2021,E07000029,0-4,Number of persons,3108
2021,E07000029,11-15,Number of persons,3614
2021,E07000029,16-19,Number of persons,2550
2021,E07000029,20-64,Number of persons,37878
2021,E07000029,5-10,Number of persons,4383
2021,E07000029,65+,Number of persons,15643
2021,E07000029,All Ages,Number of persons,67176
2021,E07000030,0-4,Number of persons,2151
2021,E07000030,11-15,Number of persons,2821
2021,E07000030,16-19,Number of persons,2089
2021,E07000030,20-64,Number of persons,30237
2021,E07000030,5-10,Number of persons,3139
2021,E07000030,65+,Number of persons,14518
2021,E07000030,All Ages,Number of persons,54955
2021,E07000031,0-4,Number of persons,3911
2021,E07000031,11-15,Number of persons,5344
2021,E07000031,16-19,Number of persons,4246
2021,E07000031,20-64,Number of persons,56285
2021,E07000031,5-10,Number of persons,5421
2021,E07000031,65+,Number of persons,29469
2021,E07000031,All Ages,Number of persons,104676
2021,E07000117,0-4,Number of persons,5715
2021,E07000117,11-15,Number of persons,6273
2021,E07000117,16-19,Number of persons,4347
2021,E07000117,20-64,Number of persons,53978
2021,E07000117,5-10,Number of persons,7407
2021,E07000117,65+,Number of persons,17001
2021,E07000117,All Ages,Number of persons,94721
2021,E07000118,0-4,Number of persons,5993
2021,E07000118,11-15,Number of persons,6851
2021,E07000118,16-19,Number of persons,4654
2021,E07000118,20-64,Number of persons,67738
2021,E07000118,5-10,Number of persons,8443
2021,E07000118,65+,Number of persons,24258
2021,E07000118,All Ages,Number of persons,117937
2021,E07000119,0-4,Number of persons,3311
2021,E07000119,11-15,Number of persons,4062
2021,E07000119,16-19,Number of persons,3001
2021,E07000119,20-64,Number of persons,43873
2021,E07000119,5-10,Number of persons,4770
2021,E07000119,65+,Number of persons,22828
2021,E07000119,All Ages,Number of persons,81845
2021,E07000120,0-4,Number of persons,4907
2021,E07000120,11-15,Number of persons,5289
2021,E07000120,16-19,Number of persons,3959
2021,E07000120,20-64,Number of persons,46663
2021,E07000120,5-10,Number of persons,6333
2021,E07000120,65+,Number of persons,15110
2021,E07000120,All Ages,Number of persons,82261
2021,E07000121,0-4,Number of persons,6662
2021,E07000121,11-15,Number of persons,7492
2021,E07000121,16-19,Number of persons,8466
2021,E07000121,20-64,Number of persons,81044
2021,E07000121,5-10,Number of persons,9025
2021,E07000121,65+,Number of persons,29473
2021,E07000121,All Ages,Number of persons,142162
2021,E07000122,0-4,Number of persons,5875
2021,E07000122,11-15,Number of persons,6654
2021,E07000122,16-19,Number of persons,4585
2021,E07000122,20-64,Number of persons,53455
2021,E07000122,5-10,Number of persons,7918
2021,E07000122,65+,Number of persons,17302
2021,E07000122,All Ages,Number of persons,95789
2021,E07000123,0-4,Number of persons,8923
2021,E07000123,11-15,Number of persons,9179
2021,E07000123,16-19,Number of persons,7785
2021,E07000123,20-64,Number of persons,88622
2021,E07000123,5-10,Number of persons,11134
2021,E07000123,65+,Number of persons,21974
2021,E07000123,All Ages,Number of persons,147617
2021,E07000124,0-4,Number of persons,2655
2021,E07000124,11-15,Number of persons,3744
2021,E07000124,16-19,Number of persons,2606
2021,E07000124,20-64,Number of persons,34189
2021,E07000124,5-10,Number of persons,3745
2021,E07000124,65+,Number of persons,14968
2021,E07000124,All Ages,Number of persons,61907
2021,E07000125,0-4,Number of persons,3773
2021,E07000125,11-15,Number of persons,4523
2021,E07000125,16-19,Number of persons,3053
2021,E07000125,20-64,Number of persons,40649
2021,E07000125,5-10,Number of persons,5279
2021,E07000125,65+,Number of persons,13733
2021,E07000125,All Ages,Number of persons,71010
2021,E07000126,0-4,Number of persons,5430
2021,E07000126,11-15,Number of persons,6431
2021,E07000126,16-19,Number of persons,4530
2021,E07000126,20-64,Number of persons,62920
2021,E07000126,5-10,Number of persons,7666
2021,E07000126,65+,Number of persons,24227
2021,E07000126,All Ages,Number of persons,111204
2021,E07000127,0-4,Number of persons,5213
2021,E07000127,11-15,Number of persons,6557
2021,E07000127,16-19,Number of persons,7125
2021,E07000127,20-64,Number of persons,65104
2021,E07000127,5-10,Number of persons,7268
2021,E07000127,65+,Number of persons,25858
2021,E07000127,All Ages,Number of persons,117125
2021,E07000128,0-4,Number of persons,4827
2021,E07000128,11-15,Number of persons,5972
2021,E07000128,16-19,Number of persons,4584
2021,E07000128,20-64,Number of persons,59098
2021,E07000128,5-10,Number of persons,6773
2021,E07000128,65+,Number of persons,31203
2021,E07000128,All Ages,Number of persons,112457
2021,E07000163,0-4,Number of persons,2338
2021,E07000163,11-15,Number of persons,3019
2021,E07000163,16-19,Number of persons,2081
2021,E07000163,20-64,Number of persons,30582
2021,E07000163,5-10,Number of persons,3302
2021,E07000163,65+,Number of persons,15768
2021,E07000163,All Ages,Number of persons,57090
2021,E07000164,0-4,Number of persons,3782
2021,E07000164,11-15,Number of persons,4563
2021,E07000164,16-19,Number of persons,3437
2021,E07000164,20-64,Number of persons,49036
2021,E07000164,5-10,Number of persons,5353
2021,E07000164,65+,Number of persons,24866
2021,E07000164,All Ages,Number of persons,91037
2021,E07000165,0-4,Number of persons,7234
2021,E07000165,11-15,Number of persons,9766
2021,E07000165,16-19,Number of persons,8286
2021,E07000165,20-64,Number of persons,90063
2021,E07000165,5-10,Number of persons,10333
2021,E07000165,65+,Number of persons,38423
2021,E07000165,All Ages,Number of persons,164105
2021,E07000166,0-4,Number of persons,2307
2021,E07000166,11-15,Number of persons,2635
2021,E07000166,16-19,Number of persons,2380
2021,E07000166,20-64,Number of persons,28216
2021,E07000166,5-10,Number of persons,3086
2021,E07000166,65+,Number of persons,11734
2021,E07000166,All Ages,Number of persons,50358
2021,E07000167,0-4,Number of persons,2268
2021,E07000167,11-15,Number of persons,2877
2021,E07000167,16-19,Number of persons,2106
2021,E07000167,20-64,Number of persons,29182
2021,E07000167,5-10,Number of persons,3210
2021,E07000167,65+,Number of persons,15254
2021,E07000167,All Ages,Number of persons,54897
2021,E07000168,0-4,Number of persons,4685
2021,E07000168,11-15,Number of persons,5550
2021,E07000168,16-19,Number of persons,4240
2021,E07000168,20-64,Number of persons,58077
2021,E07000168,5-10,Number of persons,6326
2021,E07000168,65+,Number of persons,30081
2021,E07000168,All Ages,Number of persons,108959
2021,E07000169,0-4,Number of persons,4958
2021,E07000169,11-15,Number of persons,5341
2021,E07000169,16-19,Number of persons,3678
2021,E07000169,20-64,Number of persons,53201
2021,E07000169,5-10,Number of persons,6333
2021,E07000169,65+,Number of persons,18890
2021,E07000169,All Ages,Number of persons,92401
2021,E08000001,0-4,Number of persons,18255
2021,E08000001,11-15,Number of persons,20644
2021,E08000001,16-19,Number of persons,14627
2021,E08000001,20-64,Number of persons,166892
2021,E08000001,5-10,Number of persons,24623
2021,E08000001,65+,Number of persons,51000
2021,E08000001,All Ages,Number of persons,296041
2021,E08000002,0-4,Number of persons,11095
2021,E08000002,11-15,Number of persons,12695
2021,E08000002,16-19,Number of persons,8962
2021,E08000002,20-64,Number of persons,110385
2021,E08000002,5-10,Number of persons,15049
2021,E08000002,65+,Number of persons,35637
2021,E08000002,All Ages,Number of persons,193823
2021,E08000003,0-4,Number of persons,33932
2021,E08000003,11-15,Number of persons,35759
2021,E08000003,16-19,Number of persons,33524
2021,E08000003,20-64,Number of persons,350224
2021,E08000003,5-10,Number of persons,43832
2021,E08000003,65+,Number of persons,52582
2021,E08000003,All Ages,Number of persons,549853
2021,E08000004,0-4,Number of persons,15894
2021,E08000004,11-15,Number of persons,17911
2021,E08000004,16-19,Number of persons,12963
2021,E08000004,20-64,Number of persons,135533
2021,E08000004,5-10,Number of persons,20950
2021,E08000004,65+,Number of persons,38821
2021,E08000004,All Ages,Number of persons,242072
2021,E08000005,0-4,Number of persons,14497
2021,E08000005,11-15,Number of persons,15619
2021,E08000005,16-19,Number of persons,10707
2021,E08000005,20-64,Number of persons,127509
2021,E08000005,5-10,Number of persons,18693
2021,E08000005,65+,Number of persons,37062
2021,E08000005,All Ages,Number of persons,224087
2021,E08000006,0-4,Number of persons,17189
2021,E08000006,11-15,Number of persons,15664
2021,E08000006,16-19,Number of persons,12231
2021,E08000006,20-64,Number of persons,169507
2021,E08000006,5-10,Number of persons,20141
2021,E08000006,65+,Number of persons,36032
2021,E08000006,All Ages,Number of persons,270764
2021,E08000007,0-4,Number of persons,16514
2021,E08000007,11-15,Number of persons,17615
2021,E08000007,16-19,Number of persons,11790
2021,E08000007,20-64,Number of persons,167988
2021,E08000007,5-10,Number of persons,21732
2021,E08000007,65+,Number of persons,59604
2021,E08000007,All Ages,Number of persons,295243
2021,E08000008,0-4,Number of persons,13540
2021,E08000008,11-15,Number of persons,14555
2021,E08000008,16-19,Number of persons,9939
2021,E08000008,20-64,Number of persons,134690
2021,E08000008,5-10,Number of persons,17772
2021,E08000008,65+,Number of persons,40703
2021,E08000008,All Ages,Number of persons,231199
2021,E08000009,0-4,Number of persons,13308
2021,E08000009,11-15,Number of persons,16021
2021,E08000009,16-19,Number of persons,10609
2021,E08000009,20-64,Number of persons,134610
2021,E08000009,5-10,Number of persons,19529
2021,E08000009,65+,Number of persons,41469
2021,E08000009,All Ages,Number of persons,235546
2021,E08000010,0-4,Number of persons,17650
2021,E08000010,11-15,Number of persons,19591
2021,E08000010,16-19,Number of persons,13892
2021,E08000010,20-64,Number of persons,191358
2021,E08000010,5-10,Number of persons,23285
2021,E08000010,65+,Number of persons,63983
2021,E08000010,All Ages,Number of persons,329759
2021,E08000011,0-4,Number of persons,9792
2021,E08000011,11-15,Number of persons,9096
2021,E08000011,16-19,Number of persons,6727
2021,E08000011,20-64,Number of persons,91510
2021,E08000011,5-10,Number of persons,11409
2021,E08000011,65+,Number of persons,26440
2021,E08000011,All Ages,Number of persons,154974
2021,E08000012,0-4,Number of persons,26258
2021,E08000012,11-15,Number of persons,24771
2021,E08000012,16-19,Number of persons,26768
2021,E08000012,20-64,Number of persons,299753
2021,E08000012,5-10,Number of persons,32060
2021,E08000012,65+,Number of persons,74878
2021,E08000012,All Ages,Number of persons,484488
2021,E08000013,0-4,Number of persons,9599
2021,E08000013,11-15,Number of persons,10551
2021,E08000013,16-19,Number of persons,7500
2021,E08000013,20-64,Number of persons,105502
2021,E08000013,5-10,Number of persons,12432
2021,E08000013,65+,Number of persons,37807
2021,E08000013,All Ages,Number of persons,183391
2021,E08000014,0-4,Number of persons,13497
2021,E08000014,11-15,Number of persons,15240
2021,E08000014,16-19,Number of persons,11233
2021,E08000014,20-64,Number of persons,156393
2021,E08000014,5-10,Number of persons,18171
2021,E08000014,65+,Number of persons,65158
2021,E08000014,All Ages,Number of persons,279692
2021,E08000015,0-4,Number of persons,16237
2021,E08000015,11-15,Number of persons,19140
2021,E08000015,16-19,Number of persons,13629
2021,E08000015,20-64,Number of persons,178169
2021,E08000015,5-10,Number of persons,22606
2021,E08000015,65+,Number of persons,70819
2021,E08000015,All Ages,Number of persons,320600
2021,E08000016,0-4,Number of persons,13354
2021,E08000016,11-15,Number of persons,14109
2021,E08000016,16-19,Number of persons,9810
2021,E08000016,20-64,Number of persons,142414
2021,E08000016,5-10,Number of persons,17301
2021,E08000016,65+,Number of persons,47905
2021,E08000016,All Ages,Number of persons,244893
2021,E08000017,0-4,Number of persons,16911
2021,E08000017,11-15,Number of persons,18363
2021,E08000017,16-19,Number of persons,12900
2021,E08000017,20-64,Number of persons,178399
2021,E08000017,5-10,Number of persons,21887
2021,E08000017,65+,Number of persons,60245
2021,E08000017,All Ages,Number of persons,308705
2021,E08000018,0-4,Number of persons,14536
2021,E08000018,11-15,Number of persons,16326
2021,E08000018,16-19,Number of persons,11618
2021,E08000018,20-64,Number of persons,151807
2021,E08000018,5-10,Number of persons,19345
2021,E08000018,65+,Number of persons,52551
2021,E08000018,All Ages,Number of persons,266183
2021,E08000019,0-4,Number of persons,29932
2021,E08000019,11-15,Number of persons,31560
2021,E08000019,16-19,Number of persons,29793
2021,E08000019,20-64,Number of persons,329347
2021,E08000019,5-10,Number of persons,38502
2021,E08000019,65+,Number of persons,95267
2021,E08000019,All Ages,Number of persons,554401
2021,E08000021,0-4,Number of persons,15482
2021,E08000021,11-15,Number of persons,16020
2021,E08000021,16-19,Number of persons,18308
2021,E08000021,20-64,Number of persons,183436
2021,E08000021,5-10,Number of persons,20158
2021,E08000021,65+,Number of persons,44860
2021,E08000021,All Ages,Number of persons,298264
2021,E08000022,0-4,Number of persons,10859
2021,E08000022,11-15,Number of persons,12119
2021,E08000022,16-19,Number of persons,8248
2021,E08000022,20-64,Number of persons,120355
2021,E08000022,5-10,Number of persons,14357
2021,E08000022,65+,Number of persons,43213
2021,E08000022,All Ages,Number of persons,209151
2021,E08000023,0-4,Number of persons,7757
2021,E08000023,11-15,Number of persons,8453
2021,E08000023,16-19,Number of persons,5988
2021,E08000023,20-64,Number of persons,84341
2021,E08000023,5-10,Number of persons,10316
2021,E08000023,65+,Number of persons,31060
2021,E08000023,All Ages,Number of persons,147915
2021,E08000024,0-4,Number of persons,13753
2021,E08000024,11-15,Number of persons,15884
2021,E08000024,16-19,Number of persons,11659
2021,E08000024,20-64,Number of persons,157890
2021,E08000024,5-10,Number of persons,18386
2021,E08000024,65+,Number of persons,56639
2021,E08000024,All Ages,Number of persons,274211
2021,E08000032,0-4,Number of persons,35807
2021,E08000032,11-15,Number of persons,41071
2021,E08000032,16-19,Number of persons,30317
2021,E08000032,20-64,Number of persons,308715
2021,E08000032,5-10,Number of persons,47577
2021,E08000032,65+,Number of persons,83489
2021,E08000032,All Ages,Number of persons,546976
2021,E08000033,0-4,Number of persons,11228
2021,E08000033,11-15,Number of persons,13199
2021,E08000033,16-19,Number of persons,9263
2021,E08000033,20-64,Number of persons,118192
2021,E08000033,5-10,Number of persons,15440
2021,E08000033,65+,Number of persons,39496
2021,E08000033,All Ages,Number of persons,206818
2021,E08000034,0-4,Number of persons,24948
2021,E08000034,11-15,Number of persons,28318
2021,E08000034,16-19,Number of persons,21462
2021,E08000034,20-64,Number of persons,247996
2021,E08000034,5-10,Number of persons,33373
2021,E08000034,65+,Number of persons,77258
2021,E08000034,All Ages,Number of persons,433355
2021,E08000035,0-4,Number of persons,46367
2021,E08000035,11-15,Number of persons,47296
2021,E08000035,16-19,Number of persons,40782
2021,E08000035,20-64,Number of persons,487597
2021,E08000035,5-10,Number of persons,59572
2021,E08000035,65+,Number of persons,127422
2021,E08000035,All Ages,Number of persons,809036
2021,E08000036,0-4,Number of persons,19924
2021,E08000036,11-15,Number of persons,20592
2021,E08000036,16-19,Number of persons,14201
2021,E08000036,20-64,Number of persons,206694
2021,E08000036,5-10,Number of persons,25341
2021,E08000036,65+,Number of persons,67050
2021,E08000036,All Ages,Number of persons,353802
2021,E08000037,0-4,Number of persons,10006
2021,E08000037,11-15,Number of persons,10959
2021,E08000037,16-19,Number of persons,8039
2021,E08000037,20-64,Number of persons,113743
2021,E08000037,5-10,Number of persons,13424
2021,E08000037,65+,Number of persons,39983
2021,E08000037,All Ages,Number of persons,196154
2021,E47000001,0-4,Number of persons,171874
2021,E47000001,11-15,Number of persons,186074
2021,E47000001,16-19,Number of persons,139244
2021,E47000001,20-64,Number of persons,1688696
2021,E47000001,5-10,Number of persons,225606
2021,E47000001,65+,Number of persons,456893
2021,E47000001,All Ages,Number of persons,2868387
2021,E47000002,0-4,Number of persons,74733
2021,E47000002,11-15,Number of persons,80358
2021,E47000002,16-19,Number of persons,64121
2021,E47000002,20-64,Number of persons,801967
2021,E47000002,5-10,Number of persons,97035
2021,E47000002,65+,Number of persons,255968
2021,E47000002,All Ages,Number of persons,1374182
2021,E47000003,0-4,Number of persons,138274
2021,E47000003,11-15,Number of persons,150476
2021,E47000003,16-19,Number of persons,116025
2021,E47000003,20-64,Number of persons,1369194
2021,E47000003,5-10,Number of persons,181303
2021,E47000003,65+,Number of persons,394715
2021,E47000003,All Ages,Number of persons,2349987
2021,E47000004,0-4,Number of persons,82297
2021,E47000004,11-15,Number of persons,86924
2021,E47000004,16-19,Number of persons,71463
2021,E47000004,20-64,Number of persons,905617
2021,E47000004,5-10,Number of persons,106143
2021,E47000004,65+,Number of persons,299278
2021,E47000004,All Ages,Number of persons,1551722
2021,E47000006,0-4,Number of persons,36672
2021,E47000006,11-15,Number of persons,42464
2021,E47000006,16-19,Number of persons,29679
2021,E47000006,20-64,Number of persons,384143
2021,E47000006,5-10,Number of persons,50784
2021,E47000006,65+,Number of persons,134431
2021,E47000006,All Ages,Number of persons,678173
2021,E47000010,0-4,Number of persons,56062
2021,E47000010,11-15,Number of persons,64591
2021,E47000010,16-19,Number of persons,50621
2021,E47000010,20-64,Number of persons,652385
2021,E47000010,5-10,Number of persons,76295
2021,E47000010,65+,Number of persons,239672
2021,E47000010,All Ages,Number of persons,1139626
2021,E47000011,0-4,Number of persons,40539
2021,E47000011,11-15,Number of persons,45404
2021,E47000011,16-19,Number of persons,39147
2021,E47000011,20-64,Number of persons,478778
2021,E47000011,5-10,Number of persons,54751
2021,E47000011,65+,Number of persons,170354
2021,E47000011,All Ages,Number of persons,828973
2021,E10000006,0-4,Number of persons,22252
2021,E10000006,11-15,Number of persons,26822
2021,E10000006,16-19,Number of persons,19814
2021,E10000006,20-64,Number of persons,279047
2021,E10000006,5-10,Number of persons,30639
2021,E10000006,65+,Number of persons,122247
2021,E10000006,All Ages,Number of persons,500821
2021,E10000017,0-4,Number of persons,63284
2021,E10000017,11-15,Number of persons,73027
2021,E10000017,16-19,Number of persons,58695
2021,E10000017,20-64,Number of persons,697333
2021,E10000017,5-10,Number of persons,85761
2021,E10000017,65+,Number of persons,257935
2021,E10000017,All Ages,Number of persons,1236035
2021,E10000023,0-4,Number of persons,27572
2021,E10000023,11-15,Number of persons,33751
2021,E10000023,16-19,Number of persons,26208
2021,E10000023,20-64,Number of persons,338357
2021,E10000023,5-10,Number of persons,37943
2021,E10000023,65+,Number of persons,155016
2021,E10000023,All Ages,Number of persons,618847
2021,E11000001,0-4,Number of persons,171874
2021,E11000001,11-15,Number of persons,186074
2021,E11000001,16-19,Number of persons,139244
2021,E11000001,20-64,Number of persons,1688696
2021,E11000001,5-10,Number of persons,225606
2021,E11000001,65+,Number of persons,456893
2021,E11000001,All Ages,Number of persons,2868387
2021,E11000002,0-4,Number of persons,75383
2021,E11000002,11-15,Number of persons,78798
2021,E11000002,16-19,Number of persons,65857
2021,E11000002,20-64,Number of persons,831327
2021,E11000002,5-10,Number of persons,96678
2021,E11000002,65+,Number of persons,275102
2021,E11000002,All Ages,Number of persons,1423145
2021,E11000003,0-4,Number of persons,74733
2021,E11000003,11-15,Number of persons,80358
2021,E11000003,16-19,Number of persons,64121
2021,E11000003,20-64,Number of persons,801967
2021,E11000003,5-10,Number of persons,97035
2021,E11000003,65+,Number of persons,255968
2021,E11000003,All Ages,Number of persons,1374182
2021,E11000006,0-4,Number of persons,138274
2021,E11000006,11-15,Number of persons,150476
2021,E11000006,16-19,Number of persons,116025
2021,E11000006,20-64,Number of persons,1369194
2021,E11000006,5-10,Number of persons,181303
2021,E11000006,65+,Number of persons,394715
2021,E11000006,All Ages,Number of persons,2349987
2021,E11000007,0-4,Number of persons,57857
2021,E11000007,11-15,Number of persons,63435
2021,E11000007,16-19,Number of persons,52242
2021,E11000007,20-64,Number of persons,659765
2021,E11000007,5-10,Number of persons,76641
2021,E11000007,65+,Number of persons,215755
2021,E11000007,All Ages,Number of persons,1125695
2021,E12000001,0-4,Number of persons,133273
2021,E12000001,11-15,Number of persons,152459
2021,E12000001,16-19,Number of persons,119447
2021,E12000001,20-64,Number of persons,1515306
2021,E12000001,5-10,Number of persons,181830
2021,E12000001,65+,Number of persons,544457
2021,E12000001,All Ages,Number of persons,2646772
2021,E12000002,0-4,Number of persons,405037
2021,E12000002,11-15,Number of persons,448019
2021,E12000002,16-19,Number of persons,343601
2021,E12000002,20-64,Number of persons,4294054
2021,E12000002,5-10,Number of persons,536673
2021,E12000002,65+,Number of persons,1394911
2021,E12000002,All Ages,Number of persons,7422295
2021,E12000003,0-4,Number of persons,296375
2021,E12000003,11-15,Number of persons,329042
2021,E12000003,16-19,Number of persons,258061
2021,E12000003,20-64,Number of persons,3157385
2021,E12000003,5-10,Number of persons,393132
2021,E12000003,65+,Number of persons,1047436
2021,E12000003,All Ages,Number of persons,5481431
2021,E12999901,0-4,Number of persons,834685
2021,E12999901,11-15,Number of persons,929520
2021,E12999901,16-19,Number of persons,721109
2021,E12999901,20-64,Number of persons,8966745
2021,E12999901,5-10,Number of persons,1111635
2021,E12999901,65+,Number of persons,2986804
2021,E12999901,All Ages,Number of persons,15550498
