date,geography_code,age_band,variable_name,value
2021,E06000001,0-4,Number of persons,4969
2021,E06000001,11-15,Number of persons,5898
2021,E06000001,16-19,Number of persons,4123
2021,E06000001,20-64,Number of persons,52496
2021,E06000001,5-10,Number of persons,6749
2021,E06000001,65+,Number of persons,18336
2021,E06000001,All Ages,Number of persons,92571
2021,E06000002,0-4,Number of persons,8881
2021,E06000002,11-15,Number of persons,9240
2021,E06000002,16-19,Number of persons,6801
2021,E06000002,20-64,Number of persons,82668
2021,E06000002,5-10,Number of persons,11775
2021,E06000002,65+,Number of persons,24369
2021,E06000002,All Ages,Number of persons,143734
2021,E06000003,0-4,Number of persons,6747
2021,E06000003,11-15,Number of persons,7927
2021,E06000003,16-19,Number of persons,5633
2021,E06000003,20-64,Number of persons,74866
2021,E06000003,5-10,Number of persons,9506
2021,E06000003,65+,Number of persons,31937
2021,E06000003,All Ages,Number of persons,136616
2021,E06000004,0-4,Number of persons,10602
2021,E06000004,11-15,Number of persons,12796
2021,E06000004,16-19,Number of persons,8439
2021,E06000004,20-64,Number of persons,112569
2021,E06000004,5-10,Number of persons,15106
2021,E06000004,65+,Number of persons,37518
2021,E06000004,All Ages,Number of persons,197030
2021,E06000005,0-4,Number of persons,5473
2021,E06000005,11-15,Number of persons,6603
2021,E06000005,16-19,Number of persons,4683
2021,E06000005,20-64,Number of persons,61544
2021,E06000005,5-10,Number of persons,7648
2021,E06000005,65+,Number of persons,22271
2021,E06000005,All Ages,Number of persons,108222
2021,E06000006,0-4,Number of persons,6914
2021,E06000006,11-15,Number of persons,8126
2021,E06000006,16-19,Number of persons,5606
2021,E06000006,20-64,Number of persons,74290
2021,E06000006,5-10,Number of persons,9465
2021,E06000006,65+,Number of persons,24176
2021,E06000006,All Ages,Number of persons,128577
2021,E06000007,0-4,Number of persons,10543
2021,E06000007,11-15,Number of persons,12683
2021,E06000007,16-19,Number of persons,8940
2021,E06000007,20-64,Number of persons,123795
2021,E06000007,5-10,Number of persons,14904
2021,E06000007,65+,Number of persons,40362
2021,E06000007,All Ages,Number of persons,211227
2021,E06000008,0-4,Number of persons,10033
2021,E06000008,11-15,Number of persons,11682
2021,E06000008,16-19,Number of persons,8686
2021,E06000008,20-64,Number of persons,88465
2021,E06000008,5-10,Number of persons,13506
2021,E06000008,65+,Number of persons,22550
2021,E06000008,All Ages,Number of persons,154922
2021,E06000009,0-4,Number of persons,7296
2021,E06000009,11-15,Number of persons,7894
2021,E06000009,16-19,Number of persons,5914
2021,E06000009,20-64,Number of persons,81084
2021,E06000009,5-10,Number of persons,9404
2021,E06000009,65+,Number of persons,29362
2021,E06000009,All Ages,Number of persons,140954
2021,E06000010,0-4,Number of persons,15786
2021,E06000010,11-15,Number of persons,16421
2021,E06000010,16-19,Number of persons,12216
2021,E06000010,20-64,Number of persons,160206
2021,E06000010,5-10,Number of persons,20718
2021,E06000010,65+,Number of persons,41116
2021,E06000010,All Ages,Number of persons,266463
2021,E06000011,0-4,Number of persons,14686
2021,E06000011,11-15,Number of persons,18276
2021,E06000011,16-19,Number of persons,13612
2021,E06000011,20-64,Number of persons,184468
2021,E06000011,5-10,Number of persons,21036
2021,E06000011,65+,Number of persons,91065
2021,E06000011,All Ages,Number of persons,343143
2021,E06000012,0-4,Number of persons,8359
2021,E06000012,11-15,Number of persons,9517
2021,E06000012,16-19,Number of persons,6726
2021,E06000012,20-64,Number of persons,88070
2021,E06000012,5-10,Number of persons,11485
2021,E06000012,65+,Number of persons,33040
2021,E06000012,All Ages,Number of persons,157197
2021,E06000013,0-4,Number of persons,8405
2021,E06000013,11-15,Number of persons,10095
2021,E06000013,16-19,Number of persons,7088
2021,E06000013,20-64,Number of persons,95202
2021,E06000013,5-10,Number of persons,11634
2021,E06000013,65+,Number of persons,37516
2021,E06000013,All Ages,Number of persons,169940
2021,E06000014,0-4,Number of persons,8560
2021,E06000014,11-15,Number of persons,10148
2021,E06000014,16-19,Number of persons,12065
2021,E06000014,20-64,Number of persons,119921
2021,E06000014,5-10,Number of persons,11978
2021,E06000014,65+,Number of persons,39000
2021,E06000014,All Ages,Number of persons,201672
2021,E06000047,0-4,Number of persons,24546
2021,E06000047,11-15,Number of persons,29295
2021,E06000047,16-19,Number of persons,24935
2021,E06000047,20-64,Number of persons,296411
2021,E06000047,5-10,Number of persons,34169
2021,E06000047,65+,Number of persons,111990
2021,E06000047,All Ages,Number of persons,521346
2021,E06000049,0-4,Number of persons,19963
2021,E06000049,11-15,Number of persons,22699
2021,E06000049,16-19,Number of persons,15857
2021,E06000049,20-64,Number of persons,225251
2021,E06000049,5-10,Number of persons,26773
2021,E06000049,65+,Number of persons,89985
2021,E06000049,All Ages,Number of persons,400528
2021,E06000050,0-4,Number of persons,17495
2021,E06000050,11-15,Number of persons,20214
2021,E06000050,16-19,Number of persons,14988
2021,E06000050,20-64,Number of persons,204766
2021,E06000050,5-10,Number of persons,23937
2021,E06000050,65+,Number of persons,76299
2021,E06000050,All Ages,Number of persons,357699
2021,E06000057,0-4,Number of persons,14198
2021,E06000057,11-15,Number of persons,17265
2021,E06000057,16-19,Number of persons,12591
2021,E06000057,20-64,Number of persons,174987
2021,E06000057,5-10,Number of persons,20236
2021,E06000057,65+,Number of persons,82281
2021,E06000057,All Ages,Number of persons,321558
2021,E07000026,0-4,Number of persons,4312
