geography_code,Number of persons,pensioners,working_age
E06000001,92571.0,4539.0,8638.0
E06000002,143734.0,5359.0,12595.0
E06000003,136616.0,5548.0,7971.0
E06000004,197030.0,6263.0,10789.0
E06000005,108222.0,3513.0,5811.0
E06000047,521346.0,20606.0,33369.0
E06000057,321558.0,9849.0,15040.0
E08000021,298264.0,10683.0,28488.0
E08000022,209151.0,7188.0,8857.0
E08000023,147915.0,7126.0,10303.0
E08000024,274211.0,12078.0,18661.0
E08000037,196154.0,8234.0,11507.0
E12000001,2646772.0,100986.0,172029.0
E47000006,678173.0,,
E47000010,1139626.0,,
E47000011,828973.0,,
