,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05001341,15263.0,,,,[]
E05001342,18275.0,,,,[]
E05001343,18716.0,,,,[]
E05001344,17122.0,,,,[]
E05001345,22379.0,,,,[]
E05001346,21358.0,,,,[]
E05001347,25951.0,,,,[]
E05001348,17412.0,,,,[]
E05001349,17014.0,,,,[]
E05001350,19602.0,,,,[]
E05001351,19202.0,,,,[]
E05001352,18544.0,,,,[]
E05001353,16846.0,,,,[]
E05001354,14757.0,,,,[]
E05001355,18448.0,,,,[]
E05001356,16604.0,,,,[]
E05001357,16813.0,,,,[]
E05001358,23338.0,,,,[]
E05001359,20314.0,,,,[]
E05001360,16943.0,,,,[]
E05001361,17706.0,,,,[]
E05001362,15644.0,,,,[]
E05001363,18277.0,,,,[]
E05001364,20343.0,,,,[]
E05001365,22712.0,,,,[]
E05001366,11911.0,,,,[]
E05001367,15007.0,,,,[]
E05001368,16294.0,,,,[]
E05001369,14153.0,,,,[]
E05001370,15180.0,,,,[]
E08000032,546976.0,55038.0,14046.0,29217.0,['E47000003']
