,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05011024,9960.0,,,,[]
E05011025,12059.0,,,,[]
E05011026,10254.0,,,,[]
E05011027,6271.0,,,,[]
E05011028,11738.0,,,,[]
E05011029,11593.0,,,,[]
E05011030,11372.0,,,,[]
E05011031,7232.0,,,,[]
E05011032,9635.0,,,,[]
E05011033,11590.0,,,,[]
E05011034,9008.0,,,,[]
E05011035,7929.0,,,,[]
E05011036,10898.0,,,,[]
E05011037,6624.0,,,,[]
E05011038,11794.0,,,,[]
E05011039,9727.0,,,,[]
E05011040,12660.0,,,,[]
E05011041,9994.0,,,,[]
E05011042,6873.0,,,,[]
E05011043,9049.0,,,,[]
E05011044,6820.0,,,,[]
E05011045,6317.0,,,,[]
E06000007,211227.0,7186.0,4965.0,7088.0,['E12000002']
