topic,description,geography,source
Fuel poverty,Sub-regional fuel poverty data,rgn-la-lsoa-pc,https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2022
Rental prices,Private rental market summary statistics in England,la,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/privaterentalmarketsummarystatisticsinengland
Local Council Tax Support,,la,https://www.gov.uk/government/statistical-data-sets/live-tables-on-local-government-finance#local-council-tax-support
Jobs below Living Wage,,la,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/datasets/numberandproportionofemployeejobswithhourlypaybelowthelivingwage
Mortgage and Landlord Possession,,la,https://www.gov.uk/government/collections/mortgage-and-landlord-possession-statistics
