dimension_name,dimension
Admin-use only,str:group:ACC_ONS:M_Admin-use+only
Month of On Flow,str:field:ACC_ONS:F_ACC_DATE_new:DATE_NAME
Geography (residence-based) - UK,str:group:ACC_ONS:X_Geography+%28residence-based%29+-+UK
Geography (residence-based) - GB,str:group:ACC_ONS:X_Geography+%28residence-based%29+-+GB
Age (bands and single year),str:field:ACC_ONS:V_F_ACC_ONFLOWS:age
Benefit Group,str:field:ACC_ONS:V_F_ACC_ONFLOWS:group
Employment Indicator,str:field:ACC_ONS:V_F_ACC_ONFLOWS:EMP
Gender,str:field:ACC_ONS:V_F_ACC_ONFLOWS:ccsex
