measure_name,measure
Financial Award (DLA),str:measure:PIP_DLA_Reassessment:V_F_PIP_DLA_REASSESSMENT:DLA_FINANCIAL_AWARD
Financial Award (PIP),str:measure:PIP_DLA_Reassessment:V_F_PIP_DLA_REASSESSMENT:PIP_FINANCIAL_AWARD
