geography_code,Number of persons,number_of_children,pensioners,working_age
E05000886,14757.0,,,
E05000887,14722.0,,,
E05000888,14868.0,,,
E05000889,35830.0,,,
E05000890,13401.0,,,
E05000891,13669.0,,,
E05000892,14893.0,,,
E05000893,14079.0,,,
E05000894,15247.0,,,
E05000895,14311.0,,,
E05000896,16839.0,,,
E05000897,16195.0,,,
E05000898,15956.0,,,
E05000899,17948.0,,,
E05000900,17791.0,,,
E05000901,12973.0,,,
E05000902,12858.0,,,
E05000903,18483.0,,,
E05000904,15729.0,,,
E05000905,19987.0,,,
E05000906,20898.0,,,
E05000907,24096.0,,,
E05000908,12773.0,,,
E05000909,21432.0,,,
E05000910,17146.0,,,
E05000911,16013.0,,,
E05000912,14634.0,,,
E05000913,13604.0,,,
E05000914,13036.0,,,
E05000915,16306.0,,,
E08000012,484488.0,28846.0,21649.0,43300.0
