,Quarter,geography_code,value,variable_name
0,2018-08,E12000001,33.85346089850253,smi_in_payment_amount
1,2019-08,E12000001,31.774275956284175,smi_in_payment_amount
2,2020-08,E12000001,32.15487874465053,smi_in_payment_amount
3,2021-08,E12000001,25.845898617511505,smi_in_payment_amount
4,2022-08,E12000001,25.884060283687916,smi_in_payment_amount
5,2019-02,E12000001,31.62581944444445,smi_in_payment_amount
6,2020-02,E12000001,31.8153675450763,smi_in_payment_amount
7,2021-02,E12000001,31.98592430858807,smi_in_payment_amount
8,2022-02,E12000001,25.08370558375635,smi_in_payment_amount
9,2023-02,E12000001,27.528448598130854,smi_in_payment_amount
10,2018-05,E12000001,37.60571428571426,smi_in_payment_amount
11,2019-05,E12000001,31.337537826685026,smi_in_payment_amount
12,2020-05,E12000001,32.201475177304985,smi_in_payment_amount
13,2021-05,E12000001,29.314977443609042,smi_in_payment_amount
14,2022-05,E12000001,25.639465517241373,smi_in_payment_amount
15,2018-11,E12000001,31.780189781021893,smi_in_payment_amount
16,2019-11,E12000001,31.923952843273245,smi_in_payment_amount
17,2020-11,E12000001,32.532594202898565,smi_in_payment_amount
18,2021-11,E12000001,25.520063897763563,smi_in_payment_amount
19,2022-11,E12000001,25.899128856624333,smi_in_payment_amount
20,2018-08,E12000002,38.07338501291979,smi_in_payment_amount
21,2019-08,E12000002,35.04450539956804,smi_in_payment_amount
22,2020-08,E12000002,34.561596371882025,smi_in_payment_amount
23,2021-08,E12000002,29.1454585798817,smi_in_payment_amount
24,2022-08,E12000002,29.477819956616024,smi_in_payment_amount
25,2019-02,E12000002,34.3176903336184,smi_in_payment_amount
26,2020-02,E12000002,35.20882610600088,smi_in_payment_amount
27,2021-02,E12000002,35.33829604950018,smi_in_payment_amount
28,2022-02,E12000002,28.92334384858043,smi_in_payment_amount
29,2023-02,E12000002,28.842548571428587,smi_in_payment_amount
30,2018-05,E12000002,42.45740499457115,smi_in_payment_amount
31,2019-05,E12000002,34.68326694915257,smi_in_payment_amount
32,2020-05,E12000002,35.577021085688635,smi_in_payment_amount
33,2021-05,E12000002,33.45731047802989,smi_in_payment_amount
34,2022-05,E12000002,29.475002655337203,smi_in_payment_amount
35,2018-11,E12000002,34.555918367346806,smi_in_payment_amount
36,2019-11,E12000002,35.051581455805916,smi_in_payment_amount
37,2020-11,E12000002,36.45285648148142,smi_in_payment_amount
38,2021-11,E12000002,29.703709514170026,smi_in_payment_amount
39,2022-11,E12000002,28.99710716268744,smi_in_payment_amount
40,2018-08,E12000003,38.949261862917325,smi_in_payment_amount
41,2019-08,E12000003,33.82586180124224,smi_in_payment_amount
42,2020-08,E12000003,33.055570247933844,smi_in_payment_amount
43,2021-08,E12000003,27.54510471204184,smi_in_payment_amount
44,2022-08,E12000003,27.409432624113474,smi_in_payment_amount
45,2019-02,E12000003,34.01617004680186,smi_in_payment_amount
46,2020-02,E12000003,34.07746044303797,smi_in_payment_amount
47,2021-02,E12000003,34.10437659033076,smi_in_payment_amount
48,2022-02,E12000003,27.161647619047567,smi_in_payment_amount
49,2023-02,E12000003,28.192302904564304,smi_in_payment_amount
50,2018-05,E12000003,46.17703315881323,smi_in_payment_amount
51,2019-05,E12000003,33.57001533742332,smi_in_payment_amount
52,2020-05,E12000003,34.164771615008114,smi_in_payment_amount
53,2021-05,E12000003,31.87458507963118,smi_in_payment_amount
54,2022-05,E12000003,27.47464110127823,smi_in_payment_amount
55,2018-11,E12000003,34.26811594202894,smi_in_payment_amount
56,2019-11,E12000003,33.656113296616866,smi_in_payment_amount
57,2020-11,E12000003,34.95792153589313,smi_in_payment_amount
58,2021-11,E12000003,27.279854545454523,smi_in_payment_amount
59,2022-11,E12000003,28.791969387755096,smi_in_payment_amount
