,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05010311,9151.0,,,,[]
E05010312,4160.0,,,,[]
E05010313,10097.0,,,,[]
E05010314,4129.0,,,,[]
E05010315,11568.0,,,,[]
E05010316,11026.0,,,,[]
E05010317,3914.0,,,,[]
E05010318,17978.0,,,,[]
E05010319,11769.0,,,,[]
E05010320,14558.0,,,,[]
E05010321,3828.0,,,,[]
E05010322,12781.0,,,,[]
E05010323,15147.0,,,,[]
E05010324,12610.0,,,,[]
E05010325,13431.0,,,,[]
E05010326,8426.0,,,,[]
E05010327,12195.0,,,,[]
E05010328,7857.0,,,,[]
E05010329,8267.0,,,,[]
E05010330,13952.0,,,,[]
E05010331,4168.0,,,,[]
E06000014,201672.0,4416.0,3633.0,4456.0,['E12000003']
