dimension_name,dimension
Month of On Flow,['str:count:ACC_ONS:F_ACC_DATE_new']
Westminster Parliamentary Constituency,['Month of On Flow']
National - Regional - LA - Wards,str:field:ACC_ONS:F_ACC_DATE_new:DATE_NAME
National - Regional - LAs - UK,str:field:ACC_ONS:V_F_ACC_ONFLOWS:PARLC_CODE
Age (bands and single year),str:field:ACC_ONS:V_F_ACC_ONFLOWS:WARD_CODE
Benefit Group,str:field:ACC_ONS:V_F_ACC_ONFLOWS:UK_COA
Employment Indicator,['str:field:ACC_ONS:V_F_ACC_ONFLOWS:GB_COA']
Gender,['National - Regional - LA - COAs - GB']
